Area,Crop,Year,Measurement,Unit,Value
United Kingdom,Wheat,1270,Yield,kg/ha,521.734429
United Kingdom,Wheat,1271,Yield,kg/ha,470.964263
United Kingdom,Wheat,1272,Yield,kg/ha,684.571094
United Kingdom,Wheat,1273,Yield,kg/ha,482.707332
United Kingdom,Wheat,1274,Yield,kg/ha,442.802072
United Kingdom,Wheat,1275,Yield,kg/ha,788.229498
United Kingdom,Wheat,1276,Yield,kg/ha,481.701551
United Kingdom,Wheat,1277,Yield,kg/ha,668.751621
United Kingdom,Wheat,1278,Yield,kg/ha,845.401378
United Kingdom,Wheat,1279,Yield,kg/ha,482.155455
United Kingdom,Wheat,1280,Yield,kg/ha,502.997902
United Kingdom,Wheat,1281,Yield,kg/ha,545.868682
United Kingdom,Wheat,1282,Yield,kg/ha,562.100662
United Kingdom,Wheat,1283,Yield,kg/ha,388.02851
United Kingdom,Wheat,1284,Yield,kg/ha,529.111692
United Kingdom,Wheat,1285,Yield,kg/ha,543.643882
United Kingdom,Wheat,1286,Yield,kg/ha,536.57936
United Kingdom,Wheat,1287,Yield,kg/ha,723.960362
United Kingdom,Wheat,1288,Yield,kg/ha,654.141489
United Kingdom,Wheat,1289,Yield,kg/ha,488.810365
United Kingdom,Wheat,1290,Yield,kg/ha,468.928597
United Kingdom,Wheat,1291,Yield,kg/ha,537.044461
United Kingdom,Wheat,1292,Yield,kg/ha,533.799575
United Kingdom,Wheat,1293,Yield,kg/ha,491.586608
United Kingdom,Wheat,1294,Yield,kg/ha,473.860424
United Kingdom,Wheat,1295,Yield,kg/ha,583.152725
United Kingdom,Wheat,1296,Yield,kg/ha,650.558522
United Kingdom,Wheat,1297,Yield,kg/ha,611.879826
United Kingdom,Wheat,1298,Yield,kg/ha,728.962065
United Kingdom,Wheat,1299,Yield,kg/ha,573.433077
United Kingdom,Wheat,1300,Yield,kg/ha,521.054533
United Kingdom,Wheat,1301,Yield,kg/ha,584.638957
United Kingdom,Wheat,1302,Yield,kg/ha,541.599027
United Kingdom,Wheat,1303,Yield,kg/ha,639.209662
United Kingdom,Wheat,1304,Yield,kg/ha,388.523076
United Kingdom,Wheat,1305,Yield,kg/ha,551.570655
United Kingdom,Wheat,1306,Yield,kg/ha,547.589435
United Kingdom,Wheat,1307,Yield,kg/ha,555.126449
United Kingdom,Wheat,1308,Yield,kg/ha,517.865698
United Kingdom,Wheat,1309,Yield,kg/ha,613.831393
United Kingdom,Wheat,1310,Yield,kg/ha,456.223602
United Kingdom,Wheat,1311,Yield,kg/ha,650.764108
United Kingdom,Wheat,1312,Yield,kg/ha,588.226742
United Kingdom,Wheat,1313,Yield,kg/ha,644.213051
United Kingdom,Wheat,1314,Yield,kg/ha,589.922164
United Kingdom,Wheat,1315,Yield,kg/ha,326.539391
United Kingdom,Wheat,1316,Yield,kg/ha,262.949049
United Kingdom,Wheat,1317,Yield,kg/ha,436.382222
United Kingdom,Wheat,1318,Yield,kg/ha,714.523202
United Kingdom,Wheat,1319,Yield,kg/ha,675.861796
United Kingdom,Wheat,1320,Yield,kg/ha,623.717063
United Kingdom,Wheat,1321,Yield,kg/ha,383.592834
United Kingdom,Wheat,1322,Yield,kg/ha,459.757396
United Kingdom,Wheat,1323,Yield,kg/ha,484.958824
United Kingdom,Wheat,1324,Yield,kg/ha,431.86537
United Kingdom,Wheat,1325,Yield,kg/ha,676.608628
United Kingdom,Wheat,1326,Yield,kg/ha,718.331682
United Kingdom,Wheat,1327,Yield,kg/ha,572.940069
United Kingdom,Wheat,1328,Yield,kg/ha,448.838651
United Kingdom,Wheat,1329,Yield,kg/ha,547.939897
United Kingdom,Wheat,1330,Yield,kg/ha,560.781235
United Kingdom,Wheat,1331,Yield,kg/ha,501.283603
United Kingdom,Wheat,1332,Yield,kg/ha,600.784784
United Kingdom,Wheat,1333,Yield,kg/ha,725.848084
United Kingdom,Wheat,1334,Yield,kg/ha,626.650493
United Kingdom,Wheat,1335,Yield,kg/ha,509.442636
United Kingdom,Wheat,1336,Yield,kg/ha,545.664905
United Kingdom,Wheat,1337,Yield,kg/ha,673.12174
United Kingdom,Wheat,1338,Yield,kg/ha,638.280865
United Kingdom,Wheat,1339,Yield,kg/ha,258.104657
United Kingdom,Wheat,1340,Yield,kg/ha,574.169969
United Kingdom,Wheat,1341,Yield,kg/ha,421.385471
United Kingdom,Wheat,1342,Yield,kg/ha,530.075706
United Kingdom,Wheat,1343,Yield,kg/ha,433.375174
United Kingdom,Wheat,1344,Yield,kg/ha,623.508842
United Kingdom,Wheat,1345,Yield,kg/ha,569.905696
United Kingdom,Wheat,1346,Yield,kg/ha,382.274188
United Kingdom,Wheat,1347,Yield,kg/ha,422.621441
United Kingdom,Wheat,1348,Yield,kg/ha,487.378362
United Kingdom,Wheat,1349,Yield,kg/ha,244.295512
United Kingdom,Wheat,1350,Yield,kg/ha,303.677229
United Kingdom,Wheat,1351,Yield,kg/ha,376.412053
United Kingdom,Wheat,1352,Yield,kg/ha,637.847447
United Kingdom,Wheat,1353,Yield,kg/ha,429.931172
United Kingdom,Wheat,1354,Yield,kg/ha,391.928408
United Kingdom,Wheat,1355,Yield,kg/ha,502.501591
United Kingdom,Wheat,1356,Yield,kg/ha,395.136588
United Kingdom,Wheat,1357,Yield,kg/ha,410.423124
United Kingdom,Wheat,1358,Yield,kg/ha,504.279935
United Kingdom,Wheat,1359,Yield,kg/ha,470.961915
United Kingdom,Wheat,1360,Yield,kg/ha,476.528743
United Kingdom,Wheat,1361,Yield,kg/ha,471.495159
United Kingdom,Wheat,1362,Yield,kg/ha,400.999675
United Kingdom,Wheat,1363,Yield,kg/ha,291.623976
United Kingdom,Wheat,1364,Yield,kg/ha,588.347217
United Kingdom,Wheat,1365,Yield,kg/ha,485.264445
United Kingdom,Wheat,1366,Yield,kg/ha,598.627295
United Kingdom,Wheat,1367,Yield,kg/ha,363.0287
United Kingdom,Wheat,1368,Yield,kg/ha,499.114444
United Kingdom,Wheat,1369,Yield,kg/ha,324.883673
United Kingdom,Wheat,1370,Yield,kg/ha,481.323015
United Kingdom,Wheat,1371,Yield,kg/ha,471.165051
United Kingdom,Wheat,1372,Yield,kg/ha,307.731889
United Kingdom,Wheat,1373,Yield,kg/ha,531.925866
United Kingdom,Wheat,1374,Yield,kg/ha,380.417563
United Kingdom,Wheat,1375,Yield,kg/ha,304.892475
United Kingdom,Wheat,1376,Yield,kg/ha,636.975049
United Kingdom,Wheat,1377,Yield,kg/ha,655.702186
United Kingdom,Wheat,1378,Yield,kg/ha,563.67625
United Kingdom,Wheat,1379,Yield,kg/ha,386.32808
United Kingdom,Wheat,1380,Yield,kg/ha,455.276538
United Kingdom,Wheat,1381,Yield,kg/ha,525.380328
United Kingdom,Wheat,1382,Yield,kg/ha,585.786507
United Kingdom,Wheat,1383,Yield,kg/ha,507.414123
United Kingdom,Wheat,1384,Yield,kg/ha,709.107018
United Kingdom,Wheat,1385,Yield,kg/ha,483.540241
United Kingdom,Wheat,1386,Yield,kg/ha,672.9333
United Kingdom,Wheat,1387,Yield,kg/ha,701.40502
United Kingdom,Wheat,1388,Yield,kg/ha,437.910027
United Kingdom,Wheat,1389,Yield,kg/ha,526.92997
United Kingdom,Wheat,1390,Yield,kg/ha,273.087308
United Kingdom,Wheat,1391,Yield,kg/ha,566.504767
United Kingdom,Wheat,1392,Yield,kg/ha,879.25151
United Kingdom,Wheat,1393,Yield,kg/ha,387.313691
United Kingdom,Wheat,1394,Yield,kg/ha,730.47247
United Kingdom,Wheat,1395,Yield,kg/ha,485.436409
United Kingdom,Wheat,1396,Yield,kg/ha,475.043713
United Kingdom,Wheat,1397,Yield,kg/ha,494.478506
United Kingdom,Wheat,1398,Yield,kg/ha,602.261482
United Kingdom,Wheat,1399,Yield,kg/ha,441.856476
United Kingdom,Wheat,1400,Yield,kg/ha,323.148159
United Kingdom,Wheat,1401,Yield,kg/ha,339.2705
United Kingdom,Wheat,1402,Yield,kg/ha,378.94435
United Kingdom,Wheat,1403,Yield,kg/ha,526.647905
United Kingdom,Wheat,1404,Yield,kg/ha,566.717981
United Kingdom,Wheat,1405,Yield,kg/ha,623.750299
United Kingdom,Wheat,1406,Yield,kg/ha,399.392874
United Kingdom,Wheat,1407,Yield,kg/ha,512.416586
United Kingdom,Wheat,1408,Yield,kg/ha,366.285973
United Kingdom,Wheat,1409,Yield,kg/ha,412.557818
United Kingdom,Wheat,1410,Yield,kg/ha,561.946312
United Kingdom,Wheat,1411,Yield,kg/ha,496.790872
United Kingdom,Wheat,1412,Yield,kg/ha,398.802209
United Kingdom,Wheat,1413,Yield,kg/ha,355.735668
United Kingdom,Wheat,1414,Yield,kg/ha,415.876607
United Kingdom,Wheat,1415,Yield,kg/ha,386.404866
United Kingdom,Wheat,1416,Yield,kg/ha,287.967553
United Kingdom,Wheat,1417,Yield,kg/ha,552.004079
United Kingdom,Wheat,1418,Yield,kg/ha,326.881889
United Kingdom,Wheat,1419,Yield,kg/ha,374.509838
United Kingdom,Wheat,1420,Yield,kg/ha,367.091657
United Kingdom,Wheat,1421,Yield,kg/ha,201.597716
United Kingdom,Wheat,1422,Yield,kg/ha,301.425997
United Kingdom,Wheat,1423,Yield,kg/ha,415.867485
United Kingdom,Wheat,1424,Yield,kg/ha,512.565198
United Kingdom,Wheat,1425,Yield,kg/ha,421.185317
United Kingdom,Wheat,1426,Yield,kg/ha,438.602885
United Kingdom,Wheat,1427,Yield,kg/ha,344.317315
United Kingdom,Wheat,1428,Yield,kg/ha,165.537216
United Kingdom,Wheat,1429,Yield,kg/ha,292.770534
United Kingdom,Wheat,1430,Yield,kg/ha,387.508156
United Kingdom,Wheat,1431,Yield,kg/ha,319.30256
United Kingdom,Wheat,1432,Yield,kg/ha,274.970167
United Kingdom,Wheat,1433,Yield,kg/ha,296.976794
United Kingdom,Wheat,1434,Yield,kg/ha,333.326939
United Kingdom,Wheat,1435,Yield,kg/ha,245.789036
United Kingdom,Wheat,1436,Yield,kg/ha,343.274066
United Kingdom,Wheat,1437,Yield,kg/ha,193.606163
United Kingdom,Wheat,1438,Yield,kg/ha,155.99726
United Kingdom,Wheat,1439,Yield,kg/ha,237.170969
United Kingdom,Wheat,1440,Yield,kg/ha,377.511879
United Kingdom,Wheat,1441,Yield,kg/ha,198.260276
United Kingdom,Wheat,1442,Yield,kg/ha,188.4419
United Kingdom,Wheat,1443,Yield,kg/ha,486.562005
United Kingdom,Wheat,1444,Yield,kg/ha,662.31346
United Kingdom,Wheat,1445,Yield,kg/ha,254.685446
United Kingdom,Wheat,1446,Yield,kg/ha,278.260673
United Kingdom,Wheat,1447,Yield,kg/ha,534.246385
United Kingdom,Wheat,1448,Yield,kg/ha,272.967498
United Kingdom,Wheat,1449,Yield,kg/ha,320.523413
United Kingdom,Wheat,1450,Yield,kg/ha,287.39676
United Kingdom,Wheat,1451,Yield,kg/ha,342.978074
United Kingdom,Wheat,1452,Yield,kg/ha,357.545732
United Kingdom,Wheat,1453,Yield,kg/ha,372.113391
United Kingdom,Wheat,1454,Yield,kg/ha,437.632493
United Kingdom,Wheat,1455,Yield,kg/ha,425.940036
United Kingdom,Wheat,1456,Yield,kg/ha,414.247579
United Kingdom,Wheat,1457,Yield,kg/ha,191.02589
United Kingdom,Wheat,1458,Yield,kg/ha,339.392163
United Kingdom,Wheat,1459,Yield,kg/ha,331.323891
United Kingdom,Wheat,1460,Yield,kg/ha,323.255619
United Kingdom,Wheat,1461,Yield,kg/ha,288.741454
United Kingdom,Wheat,1462,Yield,kg/ha,573.371477
United Kingdom,Wheat,1463,Yield,kg/ha,693.947029
United Kingdom,Wheat,1464,Yield,kg/ha,569.337263
United Kingdom,Wheat,1465,Yield,kg/ha,426.574024
United Kingdom,Wheat,1466,Yield,kg/ha,283.810784
United Kingdom,Wheat,1467,Yield,kg/ha,417.833413
United Kingdom,Wheat,1468,Yield,kg/ha,430.832307
United Kingdom,Wheat,1469,Yield,kg/ha,534.374841
United Kingdom,Wheat,1470,Yield,kg/ha,394.525144
United Kingdom,Wheat,1471,Yield,kg/ha,246.158919
United Kingdom,Wheat,1472,Yield,kg/ha,190.80178
United Kingdom,Wheat,1473,Yield,kg/ha,395.421637
United Kingdom,Wheat,1474,Yield,kg/ha,310.256737
United Kingdom,Wheat,1475,Yield,kg/ha,385.560501
United Kingdom,Wheat,1476,Yield,kg/ha,161.442337
United Kingdom,Wheat,1477,Yield,kg/ha,163.235277
United Kingdom,Wheat,1478,Yield,kg/ha,345.219152
United Kingdom,Wheat,1479,Yield,kg/ha,405.731035
United Kingdom,Wheat,1480,Yield,kg/ha,623.573918
United Kingdom,Wheat,1481,Yield,kg/ha,420.298776
United Kingdom,Wheat,1482,Yield,kg/ha,235.401319
United Kingdom,Wheat,1483,Yield,kg/ha,294.120232
United Kingdom,Wheat,1484,Yield,kg/ha,318.773213
United Kingdom,Wheat,1485,Yield,kg/ha,259.157785
