Area,Year,Measurement,Unit,Value
World,1996,Area,Hectares,2800000
World,1997,Area,Hectares,12800000
World,1998,Area,Hectares,27800000
World,1999,Area,Hectares,39900000
World,2000,Area,Hectares,44200000
World,2001,Area,Hectares,52600000
World,2002,Area,Hectares,58700000
World,2003,Area,Hectares,67700000
World,2004,Area,Hectares,8.1e+07
World,2005,Area,Hectares,9e+07
World,2006,Area,Hectares,1.02e+08
World,2007,Area,Hectares,114300000
World,2008,Area,Hectares,1.25e+08
World,2009,Area,Hectares,1.34e+08
World,2010,Area,Hectares,1.48e+08
World,2011,Area,Hectares,1.6e+08
World,2012,Area,Hectares,170300000
World,2013,Area,Hectares,175200000
World,2014,Area,Hectares,181500000
World,2015,Area,Hectares,179700000
World,2016,Area,Hectares,185100000
World,2017,Area,Hectares,189800000
World,2018,Area,Hectares,191700000
World,1997,Area Change,Hectares,9900000
World,1998,Area Change,Hectares,16800000
World,1999,Area Change,Hectares,12100000
World,2000,Area Change,Hectares,4300000
World,2001,Area Change,Hectares,8400000
World,2002,Area Change,Hectares,6100000
World,2003,Area Change,Hectares,9e+06
World,2004,Area Change,Hectares,13300000
World,2005,Area Change,Hectares,9e+06
World,2006,Area Change,Hectares,1.2e+07
World,2007,Area Change,Hectares,12300000
World,2008,Area Change,Hectares,10700000
World,2009,Area Change,Hectares,9e+06
World,2010,Area Change,Hectares,1.4e+07
World,2011,Area Change,Hectares,1.2e+07
World,2012,Area Change,Hectares,10300000
World,2013,Area Change,Hectares,5e+06
World,2014,Area Change,Hectares,6300000
World,2015,Area Change,Hectares,-1800000
World,2016,Area Change,Hectares,5400000
World,2017,Area Change,Hectares,5400000
World,1997,Percent Change,Percent,450
World,1998,Percent Change,Percent,230
World,1999,Percent Change,Percent,40
World,2000,Percent Change,Percent,11
World,2001,Percent Change,Percent,19
World,2002,Percent Change,Percent,12
World,2003,Percent Change,Percent,15
World,2004,Percent Change,Percent,20
World,2005,Percent Change,Percent,11
World,2006,Percent Change,Percent,13
World,2007,Percent Change,Percent,12
World,2008,Percent Change,Percent,9.4
World,2009,Percent Change,Percent,7
World,2010,Percent Change,Percent,10
World,2011,Percent Change,Percent,8
World,2012,Percent Change,Percent,6
World,2013,Percent Change,Percent,3
World,2014,Percent Change,Percent,3.5
World,2015,Percent Change,Percent,-1
World,2016,Percent Change,Percent,3
World,2017,Percent Change,Percent,3
