Year,Crop,Measurement,Unit,Value
1996,Soybean,Area,Hectares,5e+05
1996,Maize,Area,Hectares,3e+05
1996,Tabacco,Area,Hectares,1e+06
1996,Cotton,Area,Hectares,8e+05
1996,Canola,Area,Hectares,1e+05
1996,Tomato,Area,Hectares,1e+05
1996,Potato,Area,Hectares,1e+05
1997,Soybean,Area,Hectares,5100000
1997,Maize,Area,Hectares,3200000
1997,Tabacco,Area,Hectares,1600000
1997,Cotton,Area,Hectares,1400000
1997,Canola,Area,Hectares,1200000
1997,Tomato,Area,Hectares,1e+05
1997,Potato,Area,Hectares,1e+05
1998,Soybean,Area,Hectares,14500000
1998,Maize,Area,Hectares,8300000
1998,Cotton,Area,Hectares,2500000
1998,Canola,Area,Hectares,2400000
1998,Potato,Area,Hectares,1e+05
1999,Soybean,Area,Hectares,21600000
1999,Maize,Area,Hectares,11100000
1999,Cotton,Area,Hectares,3700000
1999,Canola,Area,Hectares,3400000
1999,Potato,Area,Hectares,1e+05
1999,Squash,Area,Hectares,1e+05
1999,Papaya,Area,Hectares,1e+05
2000,Soybean,Area,Hectares,25800000
2000,Maize,Area,Hectares,10300000
2000,Cotton,Area,Hectares,5300000
2000,Canola,Area,Hectares,2800000
2000,Potato,Area,Hectares,1e+05
2000,Squash,Area,Hectares,1e+05
2000,Papaya,Area,Hectares,1e+05
2001,Soybean,Area,Hectares,33300000
2001,Maize,Area,Hectares,9800000
2001,Cotton,Area,Hectares,6800000
2001,Canola,Area,Hectares,2700000
2001,Potato,Area,Hectares,1e+05
2001,Squash,Area,Hectares,1e+05
2001,Papaya,Area,Hectares,1e+05
2002,Soybean,Area,Hectares,36500000
2002,Maize,Area,Hectares,12400000
2002,Cotton,Area,Hectares,6800000
2002,Canola,Area,Hectares,3e+06
2002,Squash,Area,Hectares,1e+05
2002,Papaya,Area,Hectares,1e+05
2003,Soybean,Area,Hectares,41400000
2003,Maize,Area,Hectares,15500000
2003,Cotton,Area,Hectares,7200000
2003,Canola,Area,Hectares,3600000
2003,Squash,Area,Hectares,1e+05
2003,Papaya,Area,Hectares,1e+05
2004,Soybean,Area,Hectares,48400000
2004,Maize,Area,Hectares,19300000
2004,Cotton,Area,Hectares,9e+06
2004,Canola,Area,Hectares,4300000
2004,Squash,Area,Hectares,1e+05
2004,Papaya,Area,Hectares,1e+05
2005,Soybean,Area,Hectares,54400000
2005,Maize,Area,Hectares,21200000
2005,Cotton,Area,Hectares,9800000
2005,Canola,Area,Hectares,4600000
2005,Rice,Area,Hectares,1e+05
2005,Others,Area,Hectares,1e+05
2006,Soybean,Area,Hectares,58600000
2006,Maize,Area,Hectares,25200000
2006,Cotton,Area,Hectares,13400000
2006,Canola,Area,Hectares,4800000
2006,Alfalfa,Area,Hectares,1e+05
2006,Rice,Area,Hectares,1e+05
2006,Papaya,Area,Hectares,1e+05
2006,Others,Area,Hectares,1e+05
2007,Soybean,Area,Hectares,58600000
2007,Maize,Area,Hectares,35200000
2007,Cotton,Area,Hectares,1.5e+07
2007,Canola,Area,Hectares,5500000
2007,Alfalfa,Area,Hectares,1e+05
2007,Papaya,Area,Hectares,1e+05
2007,Others,Area,Hectares,1e+05
2008,Soybean,Area,Hectares,65800000
2008,Maize,Area,Hectares,37300000
2008,Cotton,Area,Hectares,15500000
2008,Canola,Area,Hectares,5900000
2008,Sugar beet,Area,Hectares,3e+05
2008,Alfalfa,Area,Hectares,1e+05
2008,Papaya,Area,Hectares,1e+05
2008,Others,Area,Hectares,1e+05
2009,Soybean,Area,Hectares,69200000
2009,Maize,Area,Hectares,41700000
2009,Cotton,Area,Hectares,16100000
2009,Canola,Area,Hectares,6400000
2009,Sugar beet,Area,Hectares,5e+05
2009,Alfalfa,Area,Hectares,1e+05
2009,Papaya,Area,Hectares,1e+05
2009,Others,Area,Hectares,1e+05
2010,Soybean,Area,Hectares,73300000
2010,Maize,Area,Hectares,4.6e+07
2010,Cotton,Area,Hectares,2.1e+07
2010,Canola,Area,Hectares,7e+06
2010,Sugar beet,Area,Hectares,5e+05
2010,Alfalfa,Area,Hectares,1e+05
2010,Papaya,Area,Hectares,1e+05
2010,Others,Area,Hectares,1e+05
2011,Soybean,Area,Hectares,75400000
2011,Maize,Area,Hectares,5.1e+07
2011,Cotton,Area,Hectares,24700000
2011,Canola,Area,Hectares,8200000
2011,Sugar beet,Area,Hectares,5e+05
2011,Alfalfa,Area,Hectares,2e+05
2011,Papaya,Area,Hectares,1e+05
2011,Others,Area,Hectares,1e+05
2012,Soybean,Area,Hectares,80700000
2012,Maize,Area,Hectares,55100000
2012,Cotton,Area,Hectares,24300000
2012,Canola,Area,Hectares,9200000
2012,Sugar beet,Area,Hectares,5e+05
2012,Alfalfa,Area,Hectares,4e+05
2012,Papaya,Area,Hectares,1e+05
2012,Others,Area,Hectares,1e+05
2013,Soybean,Area,Hectares,84500000
2013,Maize,Area,Hectares,57300000
2013,Cotton,Area,Hectares,23900000
2013,Canola,Area,Hectares,8200000
2013,Sugar beet,Area,Hectares,5e+05
2013,Alfalfa,Area,Hectares,8e+05
2013,Papaya,Area,Hectares,1e+05
2013,Others,Area,Hectares,1e+05
2014,Soybean,Area,Hectares,90700000
2014,Maize,Area,Hectares,55200000
2014,Cotton,Area,Hectares,25100000
2014,Canola,Area,Hectares,9e+06
2014,Sugar beet,Area,Hectares,5e+05
2014,Alfalfa,Area,Hectares,9e+05
2014,Papaya,Area,Hectares,1e+05
2014,Others,Area,Hectares,1e+05
2015,Soybean,Area,Hectares,92100000
2015,Maize,Area,Hectares,53600000
2015,Cotton,Area,Hectares,2.4e+07
2015,Canola,Area,Hectares,8500000
2015,Sugar beet,Area,Hectares,5e+05
2015,Alfalfa,Area,Hectares,1e+06
2015,Papaya,Area,Hectares,1e+06
2015,Others,Area,Hectares,1e+06
2016,Soybean,Area,Hectares,91400000
2016,Maize,Area,Hectares,60600000
2016,Cotton,Area,Hectares,22300000
2016,Canola,Area,Hectares,8600000
2016,Alfalfa,Area,Hectares,1200000
2016,Sugar beet,Area,Hectares,5e+05
2016,Papaya,Area,Hectares,1e+06
2016,Others,Area,Hectares,1e+06
2017,Soybean,Area,Hectares,94100000
2017,Maize,Area,Hectares,59700000
2017,Cotton,Area,Hectares,24100000
2017,Canola,Area,Hectares,10200000
2017,Alfalfa,Area,Hectares,1200000
2017,Sugar beet,Area,Hectares,5e+05
2017,Papaya,Area,Hectares,1e+06
2017,Others,Area,Hectares,1e+06
1996,Soybean,Percent of GE Area,Percent,18
1996,Maize,Percent of GE Area,Percent,10
1996,Tabacco,Percent of GE Area,Percent,35
1996,Cotton,Percent of GE Area,Percent,27
1996,Canola,Percent of GE Area,Percent,5
1996,Tomato,Percent of GE Area,Percent,4
1996,Potato,Percent of GE Area,Percent,1
1997,Soybean,Percent of GE Area,Percent,40
1997,Maize,Percent of GE Area,Percent,25
1997,Tabacco,Percent of GE Area,Percent,13
1997,Cotton,Percent of GE Area,Percent,11
1997,Canola,Percent of GE Area,Percent,10
1997,Tomato,Percent of GE Area,Percent,1
1997,Potato,Percent of GE Area,Percent,1
1998,Soybean,Percent of GE Area,Percent,52
1998,Maize,Percent of GE Area,Percent,30
1998,Cotton,Percent of GE Area,Percent,9
1998,Canola,Percent of GE Area,Percent,9
1998,Potato,Percent of GE Area,Percent,1
1999,Soybean,Percent of GE Area,Percent,54
1999,Maize,Percent of GE Area,Percent,28
1999,Cotton,Percent of GE Area,Percent,9
1999,Canola,Percent of GE Area,Percent,9
1999,Potato,Percent of GE Area,Percent,1
1999,Squash,Percent of GE Area,Percent,1
1999,Papaya,Percent of GE Area,Percent,1
2000,Soybean,Percent of GE Area,Percent,58
2000,Maize,Percent of GE Area,Percent,23
2000,Cotton,Percent of GE Area,Percent,12
2000,Canola,Percent of GE Area,Percent,7
2000,Potato,Percent of GE Area,Percent,1
2000,Squash,Percent of GE Area,Percent,1
2000,Papaya,Percent of GE Area,Percent,1
2001,Soybean,Percent of GE Area,Percent,63
2001,Maize,Percent of GE Area,Percent,19
2001,Cotton,Percent of GE Area,Percent,13
2001,Canola,Percent of GE Area,Percent,5
2001,Potato,Percent of GE Area,Percent,1
2001,Squash,Percent of GE Area,Percent,1
2001,Papaya,Percent of GE Area,Percent,1
2002,Soybean,Percent of GE Area,Percent,62
2002,Maize,Percent of GE Area,Percent,21
2002,Cotton,Percent of GE Area,Percent,12
2002,Canola,Percent of GE Area,Percent,5
2002,Squash,Percent of GE Area,Percent,1
2002,Papaya,Percent of GE Area,Percent,1
2003,Soybean,Percent of GE Area,Percent,61
2003,Maize,Percent of GE Area,Percent,23
2003,Cotton,Percent of GE Area,Percent,11
2003,Canola,Percent of GE Area,Percent,5
2003,Squash,Percent of GE Area,Percent,1
2003,Papaya,Percent of GE Area,Percent,1
2004,Soybean,Percent of GE Area,Percent,60
2004,Maize,Percent of GE Area,Percent,23
2004,Cotton,Percent of GE Area,Percent,11
2004,Canola,Percent of GE Area,Percent,6
2004,Squash,Percent of GE Area,Percent,1
2004,Papaya,Percent of GE Area,Percent,1
2005,Soybean,Percent of GE Area,Percent,60
2005,Maize,Percent of GE Area,Percent,24
2005,Cotton,Percent of GE Area,Percent,11
2005,Canola,Percent of GE Area,Percent,5
2005,Rice,Percent of GE Area,Percent,1
2005,Others,Percent of GE Area,Percent,1
2006,Soybean,Percent of GE Area,Percent,57
2006,Maize,Percent of GE Area,Percent,25
2006,Cotton,Percent of GE Area,Percent,13
2006,Canola,Percent of GE Area,Percent,5
2006,Alfalfa,Percent of GE Area,Percent,1
2006,Rice,Percent of GE Area,Percent,1
2006,Papaya,Percent of GE Area,Percent,1
2006,Others,Percent of GE Area,Percent,1
2007,Soybean,Percent of GE Area,Percent,51
2007,Maize,Percent of GE Area,Percent,31
2007,Cotton,Percent of GE Area,Percent,13
2007,Canola,Percent of GE Area,Percent,5
2007,Alfalfa,Percent of GE Area,Percent,1
2007,Papaya,Percent of GE Area,Percent,1
2007,Others,Percent of GE Area,Percent,1
2008,Soybean,Percent of GE Area,Percent,53
