Year,Crop,Measurement,Unit,Value
1999,Soybean,Area,Hectares,7.2e+07
1999,Canola,Area,Hectares,2.5e+07
1999,Cotton,Area,Hectares,3.4e+07
1999,Maize,Area,Hectares,1.4e+08
2000,Soybean,Area,Hectares,7.2e+07
2000,Cotton,Area,Hectares,3.4e+07
2000,Canola,Area,Hectares,2.5e+07
2000,Maize,Area,Hectares,1.4e+08
2001,Soybean,Area,Hectares,7.2e+07
2001,Cotton,Area,Hectares,3.4e+07
2001,Canola,Area,Hectares,2.5e+07
2001,Maize,Area,Hectares,1.4e+08
2002,Soybean,Area,Hectares,7.2e+07
2002,Cotton,Area,Hectares,3.4e+07
2002,Canola,Area,Hectares,2.5e+07
2002,Maize,Area,Hectares,1.4e+08
2003,Soybean,Area,Hectares,7.6e+07
2003,Cotton,Area,Hectares,3.4e+07
2003,Canola,Area,Hectares,2.2e+07
2003,Maize,Area,Hectares,1.4e+08
2004,Soybean,Area,Hectares,8.6e+07
2004,Cotton,Area,Hectares,3.2e+07
2004,Canola,Area,Hectares,2.3e+07
2004,Maize,Area,Hectares,1.43e+08
2005,Soybean,Area,Hectares,9.1e+07
2005,Cotton,Area,Hectares,3.5e+07
2005,Canola,Area,Hectares,2.6e+07
2005,Maize,Area,Hectares,1.47e+08
2006,Soybean,Area,Hectares,9.1e+07
2006,Cotton,Area,Hectares,3.5e+07
2006,Canola,Area,Hectares,2.7e+07
2006,Maize,Area,Hectares,1.48e+08
2007,Soybean,Area,Hectares,9.1e+07
2007,Cotton,Area,Hectares,3.5e+07
2007,Maize,Area,Hectares,1.48e+08
2007,Canola,Area,Hectares,2.7e+07
2008,Soybean,Area,Hectares,9.5e+07
2008,Cotton,Area,Hectares,3.4e+07
2008,Maize,Area,Hectares,1.57e+08
2008,Canola,Area,Hectares,3e+07
2009,Soybean,Area,Hectares,9e+07
2009,Cotton,Area,Hectares,3.3e+07
2009,Maize,Area,Hectares,1.58e+08
2009,Canola,Area,Hectares,3.1e+07
2010,Soybean,Area,Hectares,9e+07
2010,Cotton,Area,Hectares,3.3e+07
2010,Maize,Area,Hectares,1.58e+08
2010,Canola,Area,Hectares,3.1e+07
2011,Cotton,Area,Hectares,3e+07
2011,Soybean,Area,Hectares,1e+08
2011,Maize,Area,Hectares,1.59e+08
2011,Canola,Area,Hectares,3.1e+07
2012,Soybean,Area,Hectares,1e+08
2012,Cotton,Area,Hectares,3e+07
2012,Maize,Area,Hectares,1.59e+08
2012,Canola,Area,Hectares,3.1e+07
2013,Soybean,Area,Hectares,1.07e+08
2013,Cotton,Area,Hectares,3.4e+07
2013,Maize,Area,Hectares,1.77e+08
2013,Canola,Area,Hectares,3.4e+07
2014,Soybean,Area,Hectares,1.11e+08
2014,Cotton,Area,Hectares,3.7e+07
2014,Maize,Area,Hectares,1.84e+08
2014,Canola,Area,Hectares,3.6e+07
2015,Soybean,Area,Hectares,1.11e+08
2015,Cotton,Area,Hectares,3.2e+07
2015,Maize,Area,Hectares,1.85e+08
2015,Canola,Area,Hectares,3.6e+07
1999,Soybean,Transgenic Area,Hectares,21600000
1999,Canola,Transgenic Area,Hectares,3400000
1999,Cotton,Transgenic Area,Hectares,3700000
1999,Maize,Transgenic Area,Hectares,11100000
1999,Others,Transgenic Area,Hectares,1e+05
2000,Soybean,Transgenic Area,Hectares,25800000
2000,Cotton,Transgenic Area,Hectares,5300000
2000,Canola,Transgenic Area,Hectares,2800000
2000,Maize,Transgenic Area,Hectares,10300000
2001,Soybean,Transgenic Area,Hectares,33300000
2001,Cotton,Transgenic Area,Hectares,6800000
2001,Canola,Transgenic Area,Hectares,2700000
2001,Maize,Transgenic Area,Hectares,9800000
2002,Soybean,Transgenic Area,Hectares,36500000
2002,Cotton,Transgenic Area,Hectares,6800000
2002,Canola,Transgenic Area,Hectares,3e+06
2002,Maize,Transgenic Area,Hectares,12400000
