Year,Unit,Value
1996,Billion USD,0.093
1997,Billion USD,0.591
1998,Billion USD,1.56
1999,Billion USD,2.354
2000,Billion USD,2.429
2001,Billion USD,2.928
2002,Billion USD,3.47
2003,Billion USD,4.046
2004,Billion USD,5.09
2005,Billion USD,5.714
2006,Billion USD,6.67
2007,Billion USD,7.773
2008,Billion USD,9.045
2009,Billion USD,10.607
2010,Billion USD,11.78
2011,Billion USD,13.251
2012,Billion USD,14.84
2013,Billion USD,15.61
2014,Billion USD,15.69
2015,Billion USD,15.267
2016,Billion USD,15.816
2017,Billion USD,17.2
