Area,Year,Measurement,Unit,Value
Belgium,1856,Total,People,712000
Belgium,1866,Total,People,705000
Belgium,1880,Total,People,674000
Belgium,1890,Total,People,640000
Belgium,1900,Total,People,616000
Belgium,1910,Total,People,585000
Belgium,1920,Total,People,525000
Belgium,1930,Total,People,505000
Belgium,1947,Total,People,364000
Belgium,1961,Total,People,213000
Belgium,1970,Total,People,197477.8225
Belgium,1971,Total,People,184101.572
Belgium,1972,Total,People,172728.0139
Belgium,1973,Total,People,165111.1874
Belgium,1974,Total,People,160353.8201
Belgium,1975,Total,People,155935.2554
Belgium,1976,Total,People,147979.635
Belgium,1977,Total,People,141885.2497
Belgium,1978,Total,People,138862.5693
Belgium,1979,Total,People,138367.4551
Belgium,1980,Total,People,132237.6211
Belgium,1981,Total,People,129056.875
Belgium,1982,Total,People,127686.875
Belgium,1983,Total,People,127287.875
Belgium,1984,Total,People,127051
Belgium,1985,Total,People,126152.375
Belgium,1986,Total,People,124604.5
Belgium,1987,Total,People,122167.625
Belgium,1988,Total,People,120207.875
Belgium,1989,Total,People,119377
Belgium,1990,Total,People,118489.75
Belgium,1991,Total,People,117296.25
Belgium,1992,Total,People,114539.125
Belgium,1993,Total,People,112992.625
Belgium,1994,Total,People,110751.125
Belgium,1995,Total,People,108951.875
Belgium,1996,Total,People,104785.5
Belgium,1997,Total,People,102043.75
Belgium,1998,Total,People,100278.125
Belgium,1999,Total,People,98864.75
Belgium,2000,Total,People,94837.625
Belgium,2001,Total,People,91850.875
Belgium,2002,Total,People,89107.25
Belgium,2003,Total,People,86255.25
Belgium,2004,Total,People,85034.75
Belgium,2005,Total,People,84544.75
Belgium,2006,Total,People,84147.625
Belgium,2007,Total,People,82858.625
Finland,1880,Total,People,358000
Finland,1900,Total,People,429000
Finland,1910,Total,People,897000
Finland,1920,Total,People,1032000
Finland,1930,Total,People,1107000
Finland,1940,Total,People,1158000
Finland,1950,Total,People,912000
Finland,1960,Total,People,721000
Finland,1970,Total,People,471500
Finland,1971,Total,People,444900
Finland,1972,Total,People,419200
Finland,1973,Total,People,394300
Finland,1974,Total,People,369900
Finland,1975,Total,People,348300
Finland,1976,Total,People,336900
Finland,1977,Total,People,316500
Finland,1978,Total,People,304000
Finland,1979,Total,People,306100
Finland,1980,Total,People,308600
Finland,1981,Total,People,305800
Finland,1982,Total,People,310500
Finland,1983,Total,People,300500
Finland,1984,Total,People,298000
Finland,1985,Total,People,281900
Finland,1986,Total,People,267800
Finland,1987,Total,People,254800
Finland,1988,Total,People,243700
Finland,1989,Total,People,223700
Finland,1990,Total,People,213200
Finland,1991,Total,People,202500
Finland,1992,Total,People,188000
Finland,1993,Total,People,174800
Finland,1994,Total,People,170600
Finland,1995,Total,People,161400
Finland,1996,Total,People,152700
Finland,1997,Total,People,149900
Finland,1998,Total,People,138800
Finland,1999,Total,People,139800
Finland,2000,Total,People,136800
Finland,2001,Total,People,131400
Finland,2002,Total,People,126600
Finland,2003,Total,People,124300
Finland,2004,Total,People,121800
Finland,2005,Total,People,121300
Finland,2006,Total,People,121700
Finland,2007,Total,People,122000
France,1856,Total,People,7305000
France,1866,Total,People,7536000
France,1886,Total,People,7846000
France,1896,Total,People,8501000
France,1901,Total,People,8245000
France,1906,Total,People,8855000
France,1911,Total,People,8572000
France,1921,Total,People,9023000
France,1926,Total,People,8200000
France,1931,Total,People,7704000
France,1936,Total,People,7204000
France,1946,Total,People,7484000
France,1954,Total,People,5195000
France,1962,Total,People,3907000
France,1968,Total,People,3133000
France,1970,Total,People,2842823.419
France,1971,Total,People,2699836.65
France,1972,Total,People,2553243.488
France,1973,Total,People,2425554.341
France,1974,Total,People,2319525.058
France,1975,Total,People,2227155.572
France,1976,Total,People,2143763.904
France,1977,Total,People,2063989.497
France,1978,Total,People,2002053.295
France,1979,Total,People,1950420.626
France,1980,Total,People,1890627.592
France,1981,Total,People,1822389.621
France,1982,Total,People,1757923.365
France,1983,Total,People,1698831.12
