Crop,Year,Rank,Area,Measurement,Unit,Value
Lentils,2005-2006,NA,World,Exports,Tonnes,671878
Lentils,2005-2006,NA,Other,Exports,Tonnes,91085
Lentils,2005-2006,1,Turkey,Exports,Tonnes,80525
Lentils,2005-2006,2,Colombia,Exports,Tonnes,59195
Lentils,2005-2006,3,Egypt,Exports,Tonnes,54022
Lentils,2005-2006,4,Algeria,Exports,Tonnes,50258
Lentils,2005-2006,5,Spain,Exports,Tonnes,37179
Lentils,2005-2006,6,Mexico,Exports,Tonnes,32833
Lentils,2005-2006,7,Pakistan,Exports,Tonnes,27133
Lentils,2005-2006,8,Italy,Exports,Tonnes,26942
Lentils,2005-2006,9,India,Exports,Tonnes,25722
Lentils,2005-2006,10,Venezuela,Exports,Tonnes,25541
Lentils,2005-2006,11,Morocco,Exports,Tonnes,21888
Lentils,2005-2006,12,Chile,Exports,Tonnes,20402
Lentils,2005-2006,13,United Arab Emirates,Exports,Tonnes,20170
Lentils,2005-2006,14,Peru,Exports,Tonnes,20115
Lentils,2005-2006,15,Germany,Exports,Tonnes,15025
Lentils,2005-2006,16,Ecuador,Exports,Tonnes,14922
Lentils,2005-2006,17,Bangladesh,Exports,Tonnes,14723
Lentils,2005-2006,18,Belgium,Exports,Tonnes,12360
Lentils,2005-2006,19,Brazil,Exports,Tonnes,12281
Lentils,2005-2006,20,France,Exports,Tonnes,9557
Lentils,2006-2007,NA,World,Exports,Tonnes,851714
Lentils,2006-2007,1,India,Exports,Tonnes,130075
Lentils,2006-2007,NA,Other,Exports,Tonnes,108059
Lentils,2006-2007,2,United Arab Emirates,Exports,Tonnes,81544
Lentils,2006-2007,3,Algeria,Exports,Tonnes,69735
Lentils,2006-2007,4,Pakistan,Exports,Tonnes,61096
Lentils,2006-2007,5,Colombia,Exports,Tonnes,54177
Lentils,2006-2007,6,Bangledesh,Exports,Tonnes,40320
Lentils,2006-2007,7,Mexico,Exports,Tonnes,31513
Lentils,2006-2007,8,Turkey,Exports,Tonnes,31125
Lentils,2006-2007,9,Spain,Exports,Tonnes,30301
Lentils,2006-2007,10,Egypt,Exports,Tonnes,29206
Lentils,2006-2007,11,Morocco,Exports,Tonnes,28577
Lentils,2006-2007,12,Italy,Exports,Tonnes,23135
Lentils,2006-2007,13,Venezuela,Exports,Tonnes,23015
Lentils,2006-2007,14,Peru,Exports,Tonnes,20870
Lentils,2006-2007,15,Sri Lanka,Exports,Tonnes,19022
Lentils,2006-2007,16,Ecuador,Exports,Tonnes,18440
Lentils,2006-2007,17,Chile,Exports,Tonnes,16866
Lentils,2006-2007,18,Germany,Exports,Tonnes,12641
Lentils,2006-2007,19,Greece,Exports,Tonnes,11032
Lentils,2006-2007,20,Brazil,Exports,Tonnes,10965
Lentils,2007-2008,NA,World,Exports,Tonnes,810535
Lentils,2007-2008,NA,Other,Exports,Tonnes,126119
Lentils,2007-2008,1,Bangladesh,Exports,Tonnes,70606
Lentils,2007-2008,2,Algeria,Exports,Tonnes,70596
Lentils,2007-2008,3,India,Exports,Tonnes,68443
Lentils,2007-2008,4,Colombia,Exports,Tonnes,59480
Lentils,2007-2008,5,Turkey,Exports,Tonnes,56388
Lentils,2007-2008,6,United Arab Emirates,Exports,Tonnes,49879
Lentils,2007-2008,7,Egypt,Exports,Tonnes,37898
Lentils,2007-2008,8,Morocco,Exports,Tonnes,28607
