Year,Crop,Measurement,Unit,Value
2021,Oriental Mustard,Area Seeded,Hectares,11493.1
2021,Yellow Mustard,Area Seeded,Hectares,46417.5
2021,Brown Mustard,Area Seeded,Hectares,37231.1
2021,Total Mustard,Area Seeded,Hectares,95141.7
2021,Large Green Lentils,Area Seeded,Hectares,273972.4
2021,Small Green Lentils,Area Seeded,Hectares,119220.5
2021,Red Lentils,Area Seeded,Hectares,1120292.3
2021,Other Lentils,Area Seeded,Hectares,19424.9
2021,Total Lentils,Area Seeded,Hectares,1532869.6
2021,Green Peas,Area Seeded,Hectares,143016
2021,Yellow Peas,Area Seeded,Hectares,675056.7
2021,Other Peas,Area Seeded,Hectares,31525
2021,Total Peas,Area Seeded,Hectares,849597.8
2021,Kabuli Chickpeas,Area Seeded,Hectares,50666.7
2021,Desi Chickpeas,Area Seeded,Hectares,6313.1
2021,Total Chickpeas,Area Seeded,Hectares,56979.8
2021,Hairless Canary Seed,Area Seeded,Hectares,45365.3
2021,Regular Canary Seed,Area Seeded,Hectares,74017.1
2021,Total Canary Seed,Area Seeded,Hectares,119382.4
2021,Soybeans,Area Seeded,Hectares,34398.3
2021,Triticale,Area Seeded,Hectares,34479.2
2021,Fall Rye,Area Seeded,Hectares,40590
2021,Faba Beans,Area Seeded,Hectares,31120.4
2021,Hemp,Area Seeded,Hectares,7122.5
2021,Dry Beans,Area Seeded,Hectares,5867.9
2021,Sunflower Seed,Area Seeded,Hectares,849.8
2021,Buckwheat,Area Seeded,Hectares,3278
2021,Coriander,Area Seeded,Hectares,4694.4
2021,Camelina,Area Seeded,Hectares,1780.6
2021,Borage,Area Seeded,Hectares,161.9
2021,Caraway,Area Seeded,Hectares,849.8
2021,Fenugreek,Area Seeded,Hectares,930.8
2021,Quinoa,Area Seeded,Hectares,3844.5
2020,Oriental Mustard,Area Seeded,Hectares,5665.6
2020,Yellow Mustard,Area Seeded,Hectares,40792.3
2020,Brown Mustard,Area Seeded,Hectares,23229
2020,Total Mustard,Area Seeded,Hectares,69686.9
2020,Large Green Lentils,Area Seeded,Hectares,366726.5
2020,Small Green Lentils,Area Seeded,Hectares,103397.3
2020,Red Lentils,Area Seeded,Hectares,1044575.5
2020,Other Lentils,Area Seeded,Hectares,26021.3
2020,Total Lentils,Area Seeded,Hectares,1540720.5
2020,Green Peas,Area Seeded,Hectares,196191.8
2020,Yellow Peas,Area Seeded,Hectares,701442.2
2020,Other Peas,Area Seeded,Hectares,41925.5
2020,Total Peas,Area Seeded,Hectares,939559.5
2020,Desi Chickpeas,Area Seeded,Hectares,11452.6
2020,Kabuli Chickpeas,Area Seeded,Hectares,90083.1
2020,Other Chickpeas,Area Seeded,Hectares,566.6
2020,Total Chickpeas,Area Seeded,Hectares,102102.3
2020,Hairless Canary Seed,Area Seeded,Hectares,34924.4
2020,Regular Canary Seed,Area Seeded,Hectares,73167.2
2020,Total Canary Seed,Area Seeded,Hectares,108091.6
2020,Soybeans,Area Seeded,Hectares,51273.7
2020,Triticale,Area Seeded,Hectares,21974.4
2020,Fall Rye,Area Seeded,Hectares,48198.1
2020,Faba Beans,Area Seeded,Hectares,22621.9
2020,Hemp,Area Seeded,Hectares,5908.4
2020,Dry Beans,Area Seeded,Hectares,7729.5
