Area,Year,Crop,Measurement,Unit,Value
Canada,1921,Total wheat,Number of farms reporting,Number,381293
Canada,1921,Total wheat,Hectares,Hectares,8205434
Canada,1921,Oats,Number of farms reporting,Number,572034
Canada,1921,Oats,Hectares,Hectares,5757969
Canada,1921,Barley,Number of farms reporting,Number,217047
Canada,1921,Barley,Hectares,Hectares,878971
Canada,1921,Corn for grain,Hectares,Hectares,93628
Canada,1921,Flaxseed,Hectares,Hectares,187612
Canada,1921,Potatoes,Number of farms reporting,Number,524272
Canada,1921,Potatoes,Hectares,Hectares,224718
Canada,1921,Total tree fruits,Number of farms reporting,Number,249549
Canada,1921,Total tree fruits,Hectares,Hectares,120213
Canada,1921,Total vegetables (excluding greenhouse vegetables),Hectares,Hectares,12468
Prince Edward Island,1921,Total wheat,Number of farms reporting,Number,9432
Prince Edward Island,1921,Total wheat,Hectares,Hectares,10857
Prince Edward Island,1921,Oats,Number of farms reporting,Number,12678
Prince Edward Island,1921,Oats,Hectares,Hectares,65812
Prince Edward Island,1921,Barley,Number of farms reporting,Number,2425
Prince Edward Island,1921,Barley,Hectares,Hectares,1641
Prince Edward Island,1921,Corn for grain,Hectares,Hectares,14
Prince Edward Island,1921,Flaxseed,Hectares,Hectares,27
Prince Edward Island,1921,Potatoes,Number of farms reporting,Number,12521
Prince Edward Island,1921,Potatoes,Hectares,Hectares,12835
Prince Edward Island,1921,Total tree fruits,Number of farms reporting,Number,8199
Prince Edward Island,1921,Total tree fruits,Hectares,Hectares,1041
Prince Edward Island,1921,Total vegetables (excluding greenhouse vegetables),Hectares,Hectares,7
Nova Scotia,1921,Total wheat,Number of farms reporting,Number,7879
Nova Scotia,1921,Total wheat,Hectares,Hectares,5093
Nova Scotia,1921,Oats,Number of farms reporting,Number,27538
Nova Scotia,1921,Oats,Hectares,Hectares,41597
Nova Scotia,1921,Barley,Number of farms reporting,Number,6039
Nova Scotia,1921,Barley,Hectares,Hectares,2493
Nova Scotia,1921,Corn for grain,Hectares,Hectares,25
Nova Scotia,1921,Flaxseed,Hectares,Hectares,1
Nova Scotia,1921,Potatoes,Number of farms reporting,Number,40723
Nova Scotia,1921,Potatoes,Hectares,Hectares,14003
Nova Scotia,1921,Total tree fruits,Number of farms reporting,Number,25417
Nova Scotia,1921,Total tree fruits,Hectares,Hectares,16351
Nova Scotia,1921,Total vegetables (excluding greenhouse vegetables),Hectares,Hectares,119
New Brunswick,1921,Total wheat,Number of farms reporting,Number,6961
New Brunswick,1921,Total wheat,Hectares,Hectares,5116
New Brunswick,1921,Oats,Number of farms reporting,Number,29409
New Brunswick,1921,Oats,Hectares,Hectares,85904
New Brunswick,1921,Barley,Number of farms reporting,Number,2591
New Brunswick,1921,Barley,Hectares,Hectares,1872
New Brunswick,1921,Corn for grain,Hectares,Hectares,191
New Brunswick,1921,Flaxseed,Hectares,Hectares,4
New Brunswick,1921,Potatoes,Number of farms reporting,Number,32442
New Brunswick,1921,Potatoes,Hectares,Hectares,25402
New Brunswick,1921,Total tree fruits,Number of farms reporting,Number,17030
New Brunswick,1921,Total tree fruits,Hectares,Hectares,3156
New Brunswick,1921,Total vegetables (excluding greenhouse vegetables),Hectares,Hectares,64
Quebec,1921,Total wheat,Number of farms reporting,Number,44666
Quebec,1921,Total wheat,Hectares,Hectares,41101
Quebec,1921,Oats,Number of farms reporting,Number,117442
Quebec,1921,Oats,Hectares,Hectares,659484
Quebec,1921,Barley,Number of farms reporting,Number,48546
Quebec,1921,Barley,Hectares,Hectares,42545
Quebec,1921,Corn for grain,Hectares,Hectares,5551
Quebec,1921,Flaxseed,Hectares,Hectares,611
Quebec,1921,Potatoes,Number of farms reporting,Number,121325
Quebec,1921,Potatoes,Hectares,Hectares,59210
Quebec,1921,Total tree fruits,Number of farms reporting,Number,47396
Quebec,1921,Total tree fruits,Hectares,Hectares,11422
Quebec,1921,Total vegetables (excluding greenhouse vegetables),Hectares,Hectares,2910
Ontario,1921,Total wheat,Number of farms reporting,Number,103473
Ontario,1921,Total wheat,Hectares,Hectares,280112
Ontario,1921,Oats,Number of farms reporting,Number,159000
Ontario,1921,Oats,Hectares,Hectares,1153734
Ontario,1921,Barley,Number of farms reporting,Number,70914
Ontario,1921,Barley,Hectares,Hectares,166926
Ontario,1921,Corn for grain,Hectares,Hectares,85504
Ontario,1921,Flaxseed,Hectares,Hectares,2004
Ontario,1921,Potatoes,Number of farms reporting,Number,157551
Ontario,1921,Potatoes,Hectares,Hectares,67008
Ontario,1921,Total tree fruits,Number of farms reporting,Number,138761
Ontario,1921,Total tree fruits,Hectares,Hectares,73093
Ontario,1921,Total vegetables (excluding greenhouse vegetables),Hectares,Hectares,7770
Manitoba,1921,Total wheat,Number of farms reporting,Number,40714
Manitoba,1921,Total wheat,Hectares,Hectares,1140982
Manitoba,1921,Oats,Number of farms reporting,Number,46041
Manitoba,1921,Oats,Hectares,Hectares,725568
Manitoba,1921,Barley,Number of farms reporting,Number,33697
Manitoba,1921,Barley,Hectares,Hectares,333154
Manitoba,1921,Corn for grain,Hectares,Hectares,316
Manitoba,1921,Flaxseed,Hectares,Hectares,21909
Manitoba,1921,Potatoes,Number of farms reporting,Number,37333
Manitoba,1921,Potatoes,Hectares,Hectares,12301
Manitoba,1921,Total tree fruits,Number of farms reporting,Number,385
Manitoba,1921,Total tree fruits,Hectares,Hectares,38
Manitoba,1921,Total vegetables (excluding greenhouse vegetables),Hectares,Hectares,381
Saskatchewan,1921,Total wheat,Number of farms reporting,Number,104337
Saskatchewan,1921,Total wheat,Hectares,Hectares,4728465
Saskatchewan,1921,Oats,Number of farms reporting,Number,105798
Saskatchewan,1921,Oats,Hectares,Hectares,1966854
Saskatchewan,1921,Barley,Number of farms reporting,Number,26957
Saskatchewan,1921,Barley,Hectares,Hectares,169925
Saskatchewan,1921,Corn for grain,Hectares,Hectares,951
Saskatchewan,1921,Flaxseed,Hectares,Hectares,149479
Saskatchewan,1921,Potatoes,Number of farms reporting,Number,69359
Saskatchewan,1921,Potatoes,Hectares,Hectares,14448
Saskatchewan,1921,Total tree fruits,Number of farms reporting,Number,75
Saskatchewan,1921,Total tree fruits,Hectares,Hectares,2
Saskatchewan,1921,Total vegetables (excluding greenhouse vegetables),Hectares,Hectares,45
Alberta,1921,Total wheat,Number of farms reporting,Number,59562
Alberta,1921,Total wheat,Hectares,Hectares,1977267
Alberta,1921,Oats,Number of farms reporting,Number,67373
Alberta,1921,Oats,Hectares,Hectares,1030397
Alberta,1921,Barley,Number of farms reporting,Number,24684
Alberta,1921,Barley,Hectares,Hectares,158074
Alberta,1921,Corn for grain,Hectares,Hectares,953
Alberta,1921,Flaxseed,Hectares,Hectares,13544
Alberta,1921,Potatoes,Number of farms reporting,Number,39933
Alberta,1921,Potatoes,Hectares,Hectares,11335
Alberta,1921,Total tree fruits,Number of farms reporting,Number,32
Alberta,1921,Total tree fruits,Hectares,Hectares,42
Alberta,1921,Total vegetables (excluding greenhouse vegetables),Hectares,Hectares,113
British Columbia,1921,Total wheat,Number of farms reporting,Number,4269
British Columbia,1921,Total wheat,Hectares,Hectares,16441
British Columbia,1921,Oats,Number of farms reporting,Number,6755
British Columbia,1921,Oats,Hectares,Hectares,28619
British Columbia,1921,Barley,Number of farms reporting,Number,1194
British Columbia,1921,Barley,Hectares,Hectares,2342
British Columbia,1921,Corn for grain,Hectares,Hectares,123
British Columbia,1921,Flaxseed,Hectares,Hectares,33
British Columbia,1921,Potatoes,Number of farms reporting,Number,13085
British Columbia,1921,Potatoes,Hectares,Hectares,8177
British Columbia,1921,Total tree fruits,Number of farms reporting,Number,12254
British Columbia,1921,Total tree fruits,Hectares,Hectares,15068
