Area,Year,Item,Measurement,Unit,Value
Canada,1921,Total number of farms,Number of farms reporting,Number,711090
Canada,1921,Total area of farms,Hectares,Hectares,57015306
Canada,1921,Total area of farms,Average area in acres per farm reporting,Acres,198
Prince Edward Island,1921,Total number of farms,Number of farms reporting,Number,13701
Prince Edward Island,1921,Total area of farms,Hectares,Hectares,492293
Prince Edward Island,1921,Total area of farms,Average area in acres per farm reporting,Acres,89
Nova Scotia,1921,Total number of farms,Number of farms reporting,Number,47432
Nova Scotia,1921,Total area of farms,Hectares,Hectares,1911553
Nova Scotia,1921,Total area of farms,Average area in acres per farm reporting,Acres,100
New Brunswick,1921,Total number of farms,Number of farms reporting,Number,36655
New Brunswick,1921,Total area of farms,Hectares,Hectares,1727829
New Brunswick,1921,Total area of farms,Average area in acres per farm reporting,Acres,116
Quebec,1921,Total number of farms,Number of farms reporting,Number,137619
Quebec,1921,Total area of farms,Hectares,Hectares,6983664
Quebec,1921,Total area of farms,Average area in acres per farm reporting,Acres,125
Ontario,1921,Total number of farms,Number of farms reporting,Number,198053
Ontario,1921,Total area of farms,Hectares,Hectares,9157590
Ontario,1921,Total area of farms,Average area in acres per farm reporting,Acres,114
Manitoba,1921,Total number of farms,Number of farms reporting,Number,53252
Manitoba,1921,Total area of farms,Hectares,Hectares,5914822
Manitoba,1921,Total area of farms,Average area in acres per farm reporting,Acres,274
Saskatchewan,1921,Total number of farms,Number of farms reporting,Number,119451
Saskatchewan,1921,Total area of farms,Hectares,Hectares,17815437
Saskatchewan,1921,Total area of farms,Average area in acres per farm reporting,Acres,369
Alberta,1921,Total number of farms,Number of farms reporting,Number,82954
Alberta,1921,Total area of farms,Hectares,Hectares,11854477
Alberta,1921,Total area of farms,Average area in acres per farm reporting,Acres,353
British Columbia,1921,Total number of farms,Number of farms reporting,Number,21973
British Columbia,1921,Total area of farms,Hectares,Hectares,1157641
British Columbia,1921,Total area of farms,Average area in acres per farm reporting,Acres,130
Canada,1931,Total number of farms,Number of farms reporting,Number,728623
Canada,1931,Total area of farms,Hectares,Hectares,66009901
Canada,1931,Total area of farms,Average area in acres per farm reporting,Acres,224
Prince Edward Island,1931,Total number of farms,Number of farms reporting,Number,12865
Prince Edward Island,1931,Total area of farms,Hectares,Hectares,482062
Prince Edward Island,1931,Total area of farms,Average area in acres per farm reporting,Acres,93
Nova Scotia,1931,Total number of farms,Number of farms reporting,Number,39444
Nova Scotia,1931,Total area of farms,Hectares,Hectares,1740970
Nova Scotia,1931,Total area of farms,Average area in acres per farm reporting,Acres,109
New Brunswick,1931,Total number of farms,Number of farms reporting,Number,34025
New Brunswick,1931,Total area of farms,Hectares,Hectares,1680091
New Brunswick,1931,Total area of farms,Average area in acres per farm reporting,Acres,122
Quebec,1931,Total number of farms,Number of farms reporting,Number,135957
Quebec,1931,Total area of farms,Hectares,Hectares,7002746
Quebec,1931,Total area of farms,Average area in acres per farm reporting,Acres,127
Ontario,1931,Total number of farms,Number of farms reporting,Number,192174
Ontario,1931,Total area of farms,Hectares,Hectares,9243383
Ontario,1931,Total area of farms,Average area in acres per farm reporting,Acres,119
Manitoba,1931,Total number of farms,Number of farms reporting,Number,54199
Manitoba,1931,Total area of farms,Hectares,Hectares,6123575
Manitoba,1931,Total area of farms,Average area in acres per farm reporting,Acres,279
Saskatchewan,1931,Total number of farms,Number of farms reporting,Number,136472
Saskatchewan,1931,Total area of farms,Hectares,Hectares,22530248
Saskatchewan,1931,Total area of farms,Average area in acres per farm reporting,Acres,408
Alberta,1931,Total number of farms,Number of farms reporting,Number,97408
Alberta,1931,Total area of farms,Hectares,Hectares,15773616
Alberta,1931,Total area of farms,Average area in acres per farm reporting,Acres,400
British Columbia,1931,Total number of farms,Number of farms reporting,Number,26079
British Columbia,1931,Total area of farms,Hectares,Hectares,1433211
British Columbia,1931,Total area of farms,Average area in acres per farm reporting,Acres,136
Canada,1941,Total number of farms,Number of farms reporting,Number,732832
Canada,1941,Total area of farms,Hectares,Hectares,70238561
Canada,1941,Total area of farms,Average area in acres per farm reporting,Acres,237
Prince Edward Island,1941,Total number of farms,Number of farms reporting,Number,12230
Prince Edward Island,1941,Total area of farms,Hectares,Hectares,473024
Prince Edward Island,1941,Total area of farms,Average area in acres per farm reporting,Acres,96
Nova Scotia,1941,Total number of farms,Number of farms reporting,Number,32977
Nova Scotia,1941,Total area of farms,Hectares,Hectares,1544542
Nova Scotia,1941,Total area of farms,Average area in acres per farm reporting,Acres,116
New Brunswick,1941,Total number of farms,Number of farms reporting,Number,31889
New Brunswick,1941,Total area of farms,Hectares,Hectares,1604218
New Brunswick,1941,Total area of farms,Average area in acres per farm reporting,Acres,124
Quebec,1941,Total number of farms,Number of farms reporting,Number,154669
Quebec,1941,Total area of farms,Hectares,Hectares,7309660
Quebec,1941,Total area of farms,Average area in acres per farm reporting,Acres,117
Ontario,1941,Total number of farms,Number of farms reporting,Number,178204
Ontario,1941,Total area of farms,Hectares,Hectares,9060094
Ontario,1941,Total area of farms,Average area in acres per farm reporting,Acres,126
Manitoba,1941,Total number of farms,Number of farms reporting,Number,58024
Manitoba,1941,Total area of farms,Hectares,Hectares,6835675
Manitoba,1941,Total area of farms,Average area in acres per farm reporting,Acres,291
Saskatchewan,1941,Total number of farms,Number of farms reporting,Number,138713
