Area,Year,Item,Measurement,Unit,Value
Canada,1981,Commercial fertilizer,Number of farms reporting,Number,188726
Canada,1981,Commercial fertilizer,Hectares,Hectares,18505198
Canada,1981,Herbicides,Number of farms reporting,Number,156267
Canada,1981,Herbicides,Hectares,Hectares,15220407
Newfoundland and Labrador,1981,Commercial fertilizer,Number of farms reporting,Number,334
Newfoundland and Labrador,1981,Commercial fertilizer,Hectares,Hectares,4414
Newfoundland and Labrador,1981,Herbicides,Number of farms reporting,Number,140
Newfoundland and Labrador,1981,Herbicides,Hectares,Hectares,499
Prince Edward Island,1981,Commercial fertilizer,Number of farms reporting,Number,2421
Prince Edward Island,1981,Commercial fertilizer,Hectares,Hectares,107442
Prince Edward Island,1981,Herbicides,Number of farms reporting,Number,2024
Prince Edward Island,1981,Herbicides,Hectares,Hectares,81789
Nova Scotia,1981,Commercial fertilizer,Number of farms reporting,Number,3000
Nova Scotia,1981,Commercial fertilizer,Hectares,Hectares,88537
Nova Scotia,1981,Herbicides,Number of farms reporting,Number,1131
Nova Scotia,1981,Herbicides,Hectares,Hectares,20863
New Brunswick,1981,Commercial fertilizer,Number of farms reporting,Number,2466
New Brunswick,1981,Commercial fertilizer,Hectares,Hectares,75997
New Brunswick,1981,Herbicides,Number of farms reporting,Number,1258
New Brunswick,1981,Herbicides,Hectares,Hectares,40199
Quebec,1981,Commercial fertilizer,Number of farms reporting,Number,27368
Quebec,1981,Commercial fertilizer,Hectares,Hectares,1105401
Quebec,1981,Herbicides,Number of farms reporting,Number,15411
Quebec,1981,Herbicides,Hectares,Hectares,400831
Ontario,1981,Commercial fertilizer,Number of farms reporting,Number,56123
Ontario,1981,Commercial fertilizer,Hectares,Hectares,2533823
Ontario,1981,Herbicides,Number of farms reporting,Number,47231
Ontario,1981,Herbicides,Hectares,Hectares,1923623
Manitoba,1981,Commercial fertilizer,Number of farms reporting,Number,18659
Manitoba,1981,Commercial fertilizer,Hectares,Hectares,3196455
Manitoba,1981,Herbicides,Number of farms reporting,Number,16954
Manitoba,1981,Herbicides,Hectares,Hectares,2527920
Saskatchewan,1981,Commercial fertilizer,Number of farms reporting,Number,34673
Saskatchewan,1981,Commercial fertilizer,Hectares,Hectares,5525854
Saskatchewan,1981,Herbicides,Number of farms reporting,Number,37157
Saskatchewan,1981,Herbicides,Hectares,Hectares,5343725
Alberta,1981,Commercial fertilizer,Number of farms reporting,Number,33647
Alberta,1981,Commercial fertilizer,Hectares,Hectares,5505172
Alberta,1981,Herbicides,Number of farms reporting,Number,31222
Alberta,1981,Herbicides,Hectares,Hectares,4759804
British Columbia,1981,Commercial fertilizer,Number of farms reporting,Number,10035
British Columbia,1981,Commercial fertilizer,Hectares,Hectares,362105
British Columbia,1981,Herbicides,Number of farms reporting,Number,3739
British Columbia,1981,Herbicides,Hectares,Hectares,121154
Canada,1986,Commercial fertilizer,Number of farms reporting,Number,193797
Canada,1986,Commercial fertilizer,Hectares,Hectares,23147971
Canada,1986,Herbicides,Number of farms reporting,Number,172871
Canada,1986,Herbicides,Hectares,Hectares,22949054
Newfoundland and Labrador,1986,Commercial fertilizer,Number of farms reporting,Number,356
Newfoundland and Labrador,1986,Commercial fertilizer,Hectares,Hectares,4757
Newfoundland and Labrador,1986,Herbicides,Number of farms reporting,Number,124
Newfoundland and Labrador,1986,Herbicides,Hectares,Hectares,672
Prince Edward Island,1986,Commercial fertilizer,Number of farms reporting,Number,2200
Prince Edward Island,1986,Commercial fertilizer,Hectares,Hectares,113297
Prince Edward Island,1986,Herbicides,Number of farms reporting,Number,1803
Prince Edward Island,1986,Herbicides,Hectares,Hectares,85573
Nova Scotia,1986,Commercial fertilizer,Number of farms reporting,Number,2722
Nova Scotia,1986,Commercial fertilizer,Hectares,Hectares,85043
Nova Scotia,1986,Herbicides,Number of farms reporting,Number,1183
Nova Scotia,1986,Herbicides,Hectares,Hectares,24745
New Brunswick,1986,Commercial fertilizer,Number of farms reporting,Number,2291
New Brunswick,1986,Commercial fertilizer,Hectares,Hectares,84048
New Brunswick,1986,Herbicides,Number of farms reporting,Number,1170
New Brunswick,1986,Herbicides,Hectares,Hectares,45799
Quebec,1986,Commercial fertilizer,Number of farms reporting,Number,26599
Quebec,1986,Commercial fertilizer,Hectares,Hectares,1189233
Quebec,1986,Herbicides,Number of farms reporting,Number,16545
Quebec,1986,Herbicides,Hectares,Hectares,541251
Ontario,1986,Commercial fertilizer,Number of farms reporting,Number,52473
Ontario,1986,Commercial fertilizer,Hectares,Hectares,2591126
Ontario,1986,Herbicides,Number of farms reporting,Number,43902
Ontario,1986,Herbicides,Hectares,Hectares,2015763
Manitoba,1986,Commercial fertilizer,Number of farms reporting,Number,19206
Manitoba,1986,Commercial fertilizer,Hectares,Hectares,3726374
Manitoba,1986,Herbicides,Number of farms reporting,Number,19167
Manitoba,1986,Herbicides,Hectares,Hectares,3585368
Saskatchewan,1986,Commercial fertilizer,Number of farms reporting,Number,40869
Saskatchewan,1986,Commercial fertilizer,Hectares,Hectares,8125031
Saskatchewan,1986,Herbicides,Number of farms reporting,Number,51346
Saskatchewan,1986,Herbicides,Hectares,Hectares,10436185
Alberta,1986,Commercial fertilizer,Number of farms reporting,Number,37037
