Area,Year,Measurement,Unit,Value
Canada,1976,Total number of farms,Number,338552
Canada,1976,Under 10.00 acres,Number,14095
Canada,1976,10.00 to 69.99 acres,Number,40573
Canada,1976,70.00 to 129.99 acres,Number,44010
Canada,1976,130.00 to 179.99 acres,Number,40693
Canada,1976,180.00 to 239.99 acres,Number,24262
Canada,1976,240.00 to 399.99 acres,Number,52859
Canada,1976,400.00 to 559.99 acres,Number,31571
Canada,1976,560.00 to 759.99 acres,Number,26616
Canada,1976,760.00 to 1,119.99 acres,Number,29513
Canada,1976,1,120.00 to 1,599.99 acres,Number,17909
Canada,1976,1,600.00 to 2,239.99 acres,Number,8583
Canada,1976,2,240.00 to 2,879.99 acres,Number,3257
Canada,1976,2,880.00 to 3,519.99 acres,Number,1551
Canada,1976,3,520.00 acres and over,Number,3060
Newfoundland and Labrador,1976,Total number of farms,Number,878
Newfoundland and Labrador,1976,Under 10.00 acres,Number,405
Newfoundland and Labrador,1976,10.00 to 69.99 acres,Number,304
Newfoundland and Labrador,1976,70.00 to 129.99 acres,Number,71
Newfoundland and Labrador,1976,130.00 to 179.99 acres,Number,33
Newfoundland and Labrador,1976,180.00 to 239.99 acres,Number,16
Newfoundland and Labrador,1976,240.00 to 399.99 acres,Number,28
Newfoundland and Labrador,1976,400.00 to 559.99 acres,Number,6
Newfoundland and Labrador,1976,560.00 to 759.99 acres,Number,3
Newfoundland and Labrador,1976,760.00 to 1,119.99 acres,Number,3
Newfoundland and Labrador,1976,1,120.00 to 1,599.99 acres,Number,1
Newfoundland and Labrador,1976,1,600.00 to 2,239.99 acres,Number,1
Newfoundland and Labrador,1976,2,240.00 to 2,879.99 acres,Number,2
Newfoundland and Labrador,1976,2,880.00 to 3,519.99 acres,Number,1
Newfoundland and Labrador,1976,3,520.00 acres and over,Number,4
Prince Edward Island,1976,Total number of farms,Number,3677
Prince Edward Island,1976,Under 10.00 acres,Number,94
Prince Edward Island,1976,10.00 to 69.99 acres,Number,575
Prince Edward Island,1976,70.00 to 129.99 acres,Number,961
Prince Edward Island,1976,130.00 to 179.99 acres,Number,562
Prince Edward Island,1976,180.00 to 239.99 acres,Number,549
Prince Edward Island,1976,240.00 to 399.99 acres,Number,585
Prince Edward Island,1976,400.00 to 559.99 acres,Number,207
Prince Edward Island,1976,560.00 to 759.99 acres,Number,76
Prince Edward Island,1976,760.00 to 1,119.99 acres,Number,40
Prince Edward Island,1976,1,120.00 to 1,599.99 acres,Number,18
Prince Edward Island,1976,1,600.00 to 2,239.99 acres,Number,5
Prince Edward Island,1976,2,240.00 to 2,879.99 acres,Number,1
Prince Edward Island,1976,2,880.00 to 3,519.99 acres,Number,2
Prince Edward Island,1976,3,520.00 acres and over,Number,2
Nova Scotia,1976,Total number of farms,Number,5434
Nova Scotia,1976,Under 10.00 acres,Number,365
Nova Scotia,1976,10.00 to 69.99 acres,Number,935
Nova Scotia,1976,70.00 to 129.99 acres,Number,1078
Nova Scotia,1976,130.00 to 179.99 acres,Number,681
Nova Scotia,1976,180.00 to 239.99 acres,Number,649
Nova Scotia,1976,240.00 to 399.99 acres,Number,899
Nova Scotia,1976,400.00 to 559.99 acres,Number,416
Nova Scotia,1976,560.00 to 759.99 acres,Number,205
Nova Scotia,1976,760.00 to 1,119.99 acres,Number,128
Nova Scotia,1976,1,120.00 to 1,599.99 acres,Number,51
Nova Scotia,1976,1,600.00 to 2,239.99 acres,Number,13
Nova Scotia,1976,2,240.00 to 2,879.99 acres,Number,9
Nova Scotia,1976,2,880.00 to 3,519.99 acres,Number,4
Nova Scotia,1976,3,520.00 acres and over,Number,1
New Brunswick,1976,Total number of farms,Number,4551
New Brunswick,1976,Under 10.00 acres,Number,212
New Brunswick,1976,10.00 to 69.99 acres,Number,555
New Brunswick,1976,70.00 to 129.99 acres,Number,815
New Brunswick,1976,130.00 to 179.99 acres,Number,506
New Brunswick,1976,180.00 to 239.99 acres,Number,678
New Brunswick,1976,240.00 to 399.99 acres,Number,955
New Brunswick,1976,400.00 to 559.99 acres,Number,438
New Brunswick,1976,560.00 to 759.99 acres,Number,208
New Brunswick,1976,760.00 to 1,119.99 acres,Number,132
New Brunswick,1976,1,120.00 to 1,599.99 acres,Number,31
New Brunswick,1976,1,600.00 to 2,239.99 acres,Number,13
New Brunswick,1976,2,240.00 to 2,879.99 acres,Number,3
New Brunswick,1976,2,880.00 to 3,519.99 acres,Number,4
New Brunswick,1976,3,520.00 acres and over,Number,1
Quebec,1976,Total number of farms,Number,51587
Quebec,1976,Under 10.00 acres,Number,1650
Quebec,1976,10.00 to 69.99 acres,Number,6835
Quebec,1976,70.00 to 129.99 acres,Number,12443
Quebec,1976,130.00 to 179.99 acres,Number,8438
Quebec,1976,180.00 to 239.99 acres,Number,8182
Quebec,1976,240.00 to 399.99 acres,Number,9452
Quebec,1976,400.00 to 559.99 acres,Number,3091
Quebec,1976,560.00 to 759.99 acres,Number,1012
Quebec,1976,760.00 to 1,119.99 acres,Number,381
Quebec,1976,1,120.00 to 1,599.99 acres,Number,73
Quebec,1976,1,600.00 to 2,239.99 acres,Number,18
Quebec,1976,2,240.00 to 2,879.99 acres,Number,8
Quebec,1976,2,880.00 to 3,519.99 acres,Number,3
Quebec,1976,3,520.00 acres and over,Number,1
Ontario,1976,Total number of farms,Number,88801
Ontario,1976,Under 10.00 acres,Number,4813
Ontario,1976,10.00 to 69.99 acres,Number,17857
Ontario,1976,70.00 to 129.99 acres,Number,23035
Ontario,1976,130.00 to 179.99 acres,Number,11579
Ontario,1976,180.00 to 239.99 acres,Number,11200
Ontario,1976,240.00 to 399.99 acres,Number,12782
Ontario,1976,400.00 to 559.99 acres,Number,4457
Ontario,1976,560.00 to 759.99 acres,Number,1782
Ontario,1976,760.00 to 1,119.99 acres,Number,900
Ontario,1976,1,120.00 to 1,599.99 acres,Number,268
Ontario,1976,1,600.00 to 2,239.99 acres,Number,85
Ontario,1976,2,240.00 to 2,879.99 acres,Number,26
Ontario,1976,2,880.00 to 3,519.99 acres,Number,7
Ontario,1976,3,520.00 acres and over,Number,10
Manitoba,1976,Total number of farms,Number,32104
Manitoba,1976,Under 10.00 acres,Number,595
Manitoba,1976,10.00 to 69.99 acres,Number,1848
Manitoba,1976,70.00 to 129.99 acres,Number,1333
Manitoba,1976,130.00 to 179.99 acres,Number,3385
Manitoba,1976,180.00 to 239.99 acres,Number,943
Manitoba,1976,240.00 to 399.99 acres,Number,6189
Manitoba,1976,400.00 to 559.99 acres,Number,5088
Manitoba,1976,560.00 to 759.99 acres,Number,4604
Manitoba,1976,760.00 to 1,119.99 acres,Number,4514
Manitoba,1976,1,120.00 to 1,599.99 acres,Number,2134
Manitoba,1976,1,600.00 to 2,239.99 acres,Number,841
Manitoba,1976,2,240.00 to 2,879.99 acres,Number,289
Manitoba,1976,2,880.00 to 3,519.99 acres,Number,136
Manitoba,1976,3,520.00 acres and over,Number,205
Saskatchewan,1976,Total number of farms,Number,70958
Saskatchewan,1976,Under 10.00 acres,Number,387
Saskatchewan,1976,10.00 to 69.99 acres,Number,956
Saskatchewan,1976,70.00 to 129.99 acres,Number,786
Saskatchewan,1976,130.00 to 179.99 acres,Number,5520
Saskatchewan,1976,180.00 to 239.99 acres,Number,527
Saskatchewan,1976,240.00 to 399.99 acres,Number,9894
Saskatchewan,1976,400.00 to 559.99 acres,Number,9291
Saskatchewan,1976,560.00 to 759.99 acres,Number,10843
Saskatchewan,1976,760.00 to 1,119.99 acres,Number,14633
Saskatchewan,1976,1,120.00 to 1,599.99 acres,Number,9910
Saskatchewan,1976,1,600.00 to 2,239.99 acres,Number,4752
Saskatchewan,1976,2,240.00 to 2,879.99 acres,Number,1615
Saskatchewan,1976,2,880.00 to 3,519.99 acres,Number,692
Saskatchewan,1976,3,520.00 acres and over,Number,1152
Alberta,1976,Total number of farms,Number,61130
Alberta,1976,Under 10.00 acres,Number,730
Alberta,1976,10.00 to 69.99 acres,Number,3548
Alberta,1976,70.00 to 129.99 acres,Number,1930
Alberta,1976,130.00 to 179.99 acres,Number,8586
Alberta,1976,180.00 to 239.99 acres,Number,1056
Alberta,1976,240.00 to 399.99 acres,Number,10877
Alberta,1976,400.00 to 559.99 acres,Number,7947
Alberta,1976,560.00 to 759.99 acres,Number,7269
Alberta,1976,760.00 to 1,119.99 acres,Number,8172
Alberta,1976,1,120.00 to 1,599.99 acres,Number,5038
Alberta,1976,1,600.00 to 2,239.99 acres,Number,2634
Alberta,1976,2,240.00 to 2,879.99 acres,Number,1201
Alberta,1976,2,880.00 to 3,519.99 acres,Number,640
Alberta,1976,3,520.00 acres and over,Number,1502
British Columbia,1976,Total number of farms,Number,19432
British Columbia,1976,Under 10.00 acres,Number,4844
British Columbia,1976,10.00 to 69.99 acres,Number,7160
British Columbia,1976,70.00 to 129.99 acres,Number,1558
British Columbia,1976,130.00 to 179.99 acres,Number,1403
British Columbia,1976,180.00 to 239.99 acres,Number,462
British Columbia,1976,240.00 to 399.99 acres,Number,1198
British Columbia,1976,400.00 to 559.99 acres,Number,630
British Columbia,1976,560.00 to 759.99 acres,Number,614
British Columbia,1976,760.00 to 1,119.99 acres,Number,610
British Columbia,1976,1,120.00 to 1,599.99 acres,Number,385
British Columbia,1976,1,600.00 to 2,239.99 acres,Number,221
British Columbia,1976,2,240.00 to 2,879.99 acres,Number,103
British Columbia,1976,2,880.00 to 3,519.99 acres,Number,62
British Columbia,1976,3,520.00 acres and over,Number,182
Canada,1981,Total number of farms,Number,318361
Canada,1981,Under 10.00 acres,Number,16413
Canada,1981,10.00 to 69.99 acres,Number,40301
Canada,1981,70.00 to 129.99 acres,Number,39691
Canada,1981,130.00 to 179.99 acres,Number,38150
Canada,1981,180.00 to 239.99 acres,Number,21159
Canada,1981,240.00 to 399.99 acres,Number,47081
Canada,1981,400.00 to 559.99 acres,Number,27759
Canada,1981,560.00 to 759.99 acres,Number,23758
Canada,1981,760.00 to 1,119.99 acres,Number,27788
Canada,1981,1,120.00 to 1,599.99 acres,Number,18283
Canada,1981,1,600.00 to 2,239.99 acres,Number,9572
Canada,1981,2,240.00 to 2,879.99 acres,Number,3637
Canada,1981,2,880.00 to 3,519.99 acres,Number,1700
Canada,1981,3,520.00 acres and over,Number,3069
Newfoundland and Labrador,1981,Total number of farms,Number,679
Newfoundland and Labrador,1981,Under 10.00 acres,Number,244
Newfoundland and Labrador,1981,10.00 to 69.99 acres,Number,257
Newfoundland and Labrador,1981,70.00 to 129.99 acres,Number,90
Newfoundland and Labrador,1981,130.00 to 179.99 acres,Number,28
Newfoundland and Labrador,1981,180.00 to 239.99 acres,Number,14
Newfoundland and Labrador,1981,240.00 to 399.99 acres,Number,19
Newfoundland and Labrador,1981,400.00 to 559.99 acres,Number,6
Newfoundland and Labrador,1981,560.00 to 759.99 acres,Number,6
Newfoundland and Labrador,1981,760.00 to 1,119.99 acres,Number,6
Newfoundland and Labrador,1981,1,120.00 to 1,599.99 acres,Number,1
Newfoundland and Labrador,1981,1,600.00 to 2,239.99 acres,Number,1
Newfoundland and Labrador,1981,2,240.00 to 2,879.99 acres,Number,2
Newfoundland and Labrador,1981,2,880.00 to 3,519.99 acres,Number,1
Newfoundland and Labrador,1981,3,520.00 acres and over,Number,4
Prince Edward Island,1981,Total number of farms,Number,3154
Prince Edward Island,1981,Under 10.00 acres,Number,149
Prince Edward Island,1981,10.00 to 69.99 acres,Number,423
Prince Edward Island,1981,70.00 to 129.99 acres,Number,735
Prince Edward Island,1981,130.00 to 179.99 acres,Number,457
Prince Edward Island,1981,180.00 to 239.99 acres,Number,414
Prince Edward Island,1981,240.00 to 399.99 acres,Number,577
Prince Edward Island,1981,400.00 to 559.99 acres,Number,217
Prince Edward Island,1981,560.00 to 759.99 acres,Number,87
Prince Edward Island,1981,760.00 to 1,119.99 acres,Number,57
Prince Edward Island,1981,1,120.00 to 1,599.99 acres,Number,24
Prince Edward Island,1981,1,600.00 to 2,239.99 acres,Number,8
Prince Edward Island,1981,2,240.00 to 2,879.99 acres,Number,3
Prince Edward Island,1981,2,880.00 to 3,519.99 acres,Number,2
