Area,Year,Item,Measurement,Unit,Value
Canada,1921,Total area of farms,Number of farms reporting,Number,711090
Canada,1921,Total area of farms,Hectares,Hectares,57015306
Canada,1921,Land in crops,Hectares,Hectares,20247882
Prince Edward Island,1921,Total area of farms,Number of farms reporting,Number,13701
Prince Edward Island,1921,Total area of farms,Hectares,Hectares,492293
Prince Edward Island,1921,Land in crops,Hectares,Hectares,186690
Nova Scotia,1921,Total area of farms,Number of farms reporting,Number,47432
Nova Scotia,1921,Total area of farms,Hectares,Hectares,1911553
Nova Scotia,1921,Land in crops,Hectares,Hectares,278448
New Brunswick,1921,Total area of farms,Number of farms reporting,Number,36655
New Brunswick,1921,Total area of farms,Hectares,Hectares,1727829
New Brunswick,1921,Land in crops,Hectares,Hectares,366518
Quebec,1921,Total area of farms,Number of farms reporting,Number,137619
Quebec,1921,Total area of farms,Hectares,Hectares,6983664
Quebec,1921,Land in crops,Hectares,Hectares,2428500
Ontario,1921,Total area of farms,Number of farms reporting,Number,198053
Ontario,1921,Total area of farms,Hectares,Hectares,9157590
Ontario,1921,Land in crops,Hectares,Hectares,3796362
Manitoba,1921,Total area of farms,Number of farms reporting,Number,53252
Manitoba,1921,Total area of farms,Hectares,Hectares,5914822
Manitoba,1921,Land in crops,Hectares,Hectares,2370925
Saskatchewan,1921,Total area of farms,Number of farms reporting,Number,119451
Saskatchewan,1921,Total area of farms,Hectares,Hectares,17815437
Saskatchewan,1921,Land in crops,Hectares,Hectares,7212558
Alberta,1921,Total area of farms,Number of farms reporting,Number,82954
Alberta,1921,Total area of farms,Hectares,Hectares,11854477
Alberta,1921,Land in crops,Hectares,Hectares,3449374
British Columbia,1921,Total area of farms,Number of farms reporting,Number,21973
British Columbia,1921,Total area of farms,Hectares,Hectares,1157641
British Columbia,1921,Land in crops,Hectares,Hectares,158507
Canada,1931,Total area of farms,Number of farms reporting,Number,728623
Canada,1931,Total area of farms,Hectares,Hectares,66009901
Canada,1931,Land in crops,Hectares,Hectares,23609337
Prince Edward Island,1931,Total area of farms,Number of farms reporting,Number,12865
