Area,Year,Measurement,Unit,Value
Canada,1991,Total number of operators,Farm operators,390875
Canada,1996,Total number of operators,Farm operators,385610
Canada,2001,Total number of operators,Farm operators,346195
Canada,2006,Total number of operators,Farm operators,327060
Canada,2011,Total number of operators,Farm operators,293925
Canada,2016,Total number of operators,Farm operators,271935
Canada,2021,Total number of operators,Farm operators,262455
Canada,1991,Male,Farm operators,290550
Canada,1996,Male,Farm operators,288265
Canada,2001,Male,Farm operators,255015
Canada,2006,Male,Farm operators,236220
Canada,2011,Male,Farm operators,213265
Canada,2016,Male,Farm operators,193965
Canada,2021,Male,Farm operators,182655
Canada,1991,Female,Farm operators,100325
Canada,1996,Female,Farm operators,97345
Canada,2001,Female,Farm operators,91180
Canada,2006,Female,Farm operators,90840
Canada,2011,Female,Farm operators,80665
Canada,2016,Female,Farm operators,77970
Canada,2021,Female,Farm operators,79795
Canada,1991,Under 35 years,Farm operators,77910
Canada,1996,Under 35 years,Farm operators,61055
Canada,2001,Under 35 years,Farm operators,39915
Canada,2006,Under 35 years,Farm operators,29920
Canada,2011,Under 35 years,Farm operators,24120
Canada,2016,Under 35 years,Farm operators,24850
Canada,2021,Under 35 years,Farm operators,22635
Canada,1991,35 to 54 years,Farm operators,187585
Canada,1996,35 to 54 years,Farm operators,200170
Canada,2001,35 to 54 years,Farm operators,185570
Canada,2006,35 to 54 years,Farm operators,164160
Canada,2011,35 to 54 years,Farm operators,127895
Canada,2016,35 to 54 years,Farm operators,98840
Canada,2021,35 to 54 years,Farm operators,81040
Canada,1991,55 years and over,Farm operators,125380
Canada,1996,55 years and over,Farm operators,124380
Canada,2001,55 years and over,Farm operators,120705
Canada,2006,55 years and over,Farm operators,132975
Canada,2011,55 years and over,Farm operators,141920
Canada,2016,55 years and over,Farm operators,148250
Canada,2021,55 years and over,Farm operators,158790
Canada,1991,Average age of farm operators,Farm operators,47.5
Canada,1996,Average age of farm operators,Farm operators,48.4
Canada,2001,Average age of farm operators,Farm operators,49.9
Canada,2006,Average age of farm operators,Farm operators,52
Canada,2011,Average age of farm operators,Farm operators,54
Canada,2016,Average age of farm operators,Farm operators,55
Canada,2021,Average age of farm operators,Farm operators,56
Canada,1991,Operators with no paid non-farm work,Farm operators,245865
Canada,1996,Operators with no paid non-farm work,Farm operators,209390
Canada,2001,Operators with no paid non-farm work,Farm operators,191980
Canada,2006,Operators with no paid non-farm work,Farm operators,168805
Canada,2011,Operators with no paid non-farm work,Farm operators,156185
Canada,2016,Operators with no paid non-farm work,Farm operators,151270
Canada,2021,Operators with no paid non-farm work,Farm operators,137170
Canada,1991,Operators with paid non-farm work,Farm operators,145005
Canada,1996,Operators with paid non-farm work,Farm operators,176215
Canada,2001,Operators with paid non-farm work,Farm operators,154215
Canada,2006,Operators with paid non-farm work,Farm operators,158255
Canada,2011,Operators with paid non-farm work,Farm operators,137740
Canada,2016,Operators with paid non-farm work,Farm operators,120670
Canada,2021,Operators with paid non-farm work,Farm operators,125280
Newfoundland and Labrador,1991,Total number of operators,Farm operators,900
Newfoundland and Labrador,1996,Total number of operators,Farm operators,925
Newfoundland and Labrador,2001,Total number of operators,Farm operators,785
Newfoundland and Labrador,2006,Total number of operators,Farm operators,715
Newfoundland and Labrador,2011,Total number of operators,Farm operators,665
Newfoundland and Labrador,2016,Total number of operators,Farm operators,500
Newfoundland and Labrador,2021,Total number of operators,Farm operators,450
Newfoundland and Labrador,1991,Male,Farm operators,730
Newfoundland and Labrador,1996,Male,Farm operators,755
Newfoundland and Labrador,2001,Male,Farm operators,620
Newfoundland and Labrador,2006,Male,Farm operators,545
Newfoundland and Labrador,2011,Male,Farm operators,510
Newfoundland and Labrador,2016,Male,Farm operators,385
Newfoundland and Labrador,2021,Male,Farm operators,340
Newfoundland and Labrador,1991,Female,Farm operators,170
Newfoundland and Labrador,1996,Female,Farm operators,170
Newfoundland and Labrador,2001,Female,Farm operators,165
Newfoundland and Labrador,2006,Female,Farm operators,170
Newfoundland and Labrador,2011,Female,Farm operators,155
Newfoundland and Labrador,2016,Female,Farm operators,115
Newfoundland and Labrador,2021,Female,Farm operators,115
Newfoundland and Labrador,1991,Under 35 years,Farm operators,135
Newfoundland and Labrador,1996,Under 35 years,Farm operators,120
Newfoundland and Labrador,2001,Under 35 years,Farm operators,50
Newfoundland and Labrador,2006,Under 35 years,Farm operators,45
Newfoundland and Labrador,2011,Under 35 years,Farm operators,30
Newfoundland and Labrador,2016,Under 35 years,Farm operators,25
Newfoundland and Labrador,2021,Under 35 years,Farm operators,15
Newfoundland and Labrador,1991,35 to 54 years,Farm operators,530
Newfoundland and Labrador,1996,35 to 54 years,Farm operators,555
Newfoundland and Labrador,2001,35 to 54 years,Farm operators,485
Newfoundland and Labrador,2006,35 to 54 years,Farm operators,390
Newfoundland and Labrador,2011,35 to 54 years,Farm operators,270
Newfoundland and Labrador,2016,35 to 54 years,Farm operators,185
Newfoundland and Labrador,2021,35 to 54 years,Farm operators,130
Newfoundland and Labrador,1991,55 years and over,Farm operators,225
Newfoundland and Labrador,1996,55 years and over,Farm operators,255
Newfoundland and Labrador,2001,55 years and over,Farm operators,245
Newfoundland and Labrador,2006,55 years and over,Farm operators,280
Newfoundland and Labrador,2011,55 years and over,Farm operators,375
Newfoundland and Labrador,2016,55 years and over,Farm operators,290
Newfoundland and Labrador,2021,55 years and over,Farm operators,295
Newfoundland and Labrador,1991,Average age of farm operators,Farm operators,46.2
Newfoundland and Labrador,1996,Average age of farm operators,Farm operators,47.7
Newfoundland and Labrador,2001,Average age of farm operators,Farm operators,50.5
Newfoundland and Labrador,2006,Average age of farm operators,Farm operators,52.3
Newfoundland and Labrador,2011,Average age of farm operators,Farm operators,55
Newfoundland and Labrador,2016,Average age of farm operators,Farm operators,55.8
Newfoundland and Labrador,2021,Average age of farm operators,Farm operators,57.5
Newfoundland and Labrador,1991,Operators with no paid non-farm work,Farm operators,510
Newfoundland and Labrador,1996,Operators with no paid non-farm work,Farm operators,465
Newfoundland and Labrador,2001,Operators with no paid non-farm work,Farm operators,395
Newfoundland and Labrador,2006,Operators with no paid non-farm work,Farm operators,385
Newfoundland and Labrador,2011,Operators with no paid non-farm work,Farm operators,355
Newfoundland and Labrador,2016,Operators with no paid non-farm work,Farm operators,290
Newfoundland and Labrador,2021,Operators with no paid non-farm work,Farm operators,235
Newfoundland and Labrador,1991,Operators with paid non-farm work,Farm operators,385
Newfoundland and Labrador,1996,Operators with paid non-farm work,Farm operators,460
Newfoundland and Labrador,2001,Operators with paid non-farm work,Farm operators,385
Newfoundland and Labrador,2006,Operators with paid non-farm work,Farm operators,325
Newfoundland and Labrador,2011,Operators with paid non-farm work,Farm operators,310
Newfoundland and Labrador,2016,Operators with paid non-farm work,Farm operators,205
Newfoundland and Labrador,2021,Operators with paid non-farm work,Farm operators,215
Prince Edward Island,1991,Total number of operators,Farm operators,3130
Prince Edward Island,1996,Total number of operators,Farm operators,2930
Prince Edward Island,2001,Total number of operators,Farm operators,2455
Prince Edward Island,2006,Total number of operators,Farm operators,2330
Prince Edward Island,2011,Total number of operators,Farm operators,2045
Prince Edward Island,2016,Total number of operators,Farm operators,1810
Prince Edward Island,2021,Total number of operators,Farm operators,1600
Prince Edward Island,1991,Male,Farm operators,2655
Prince Edward Island,1996,Male,Farm operators,2515
Prince Edward Island,2001,Male,Farm operators,2095
Prince Edward Island,2006,Male,Farm operators,1930
Prince Edward Island,2011,Male,Farm operators,1700
Prince Edward Island,2016,Male,Farm operators,1480
Prince Edward Island,2021,Male,Farm operators,1280
Prince Edward Island,1991,Female,Farm operators,475
Prince Edward Island,1996,Female,Farm operators,415
Prince Edward Island,2001,Female,Farm operators,360
Prince Edward Island,2006,Female,Farm operators,400
Prince Edward Island,2011,Female,Farm operators,350
Prince Edward Island,2016,Female,Farm operators,330
Prince Edward Island,2021,Female,Farm operators,320
Prince Edward Island,1991,Under 35 years,Farm operators,630
Prince Edward Island,1996,Under 35 years,Farm operators,490
Prince Edward Island,2001,Under 35 years,Farm operators,265
Prince Edward Island,2006,Under 35 years,Farm operators,210
Prince Edward Island,2011,Under 35 years,Farm operators,145
Prince Edward Island,2016,Under 35 years,Farm operators,170
Prince Edward Island,2021,Under 35 years,Farm operators,95
Prince Edward Island,1991,35 to 54 years,Farm operators,1460
Prince Edward Island,1996,35 to 54 years,Farm operators,1520
Prince Edward Island,2001,35 to 54 years,Farm operators,1390
Prince Edward Island,2006,35 to 54 years,Farm operators,1205
Prince Edward Island,2011,35 to 54 years,Farm operators,935
Prince Edward Island,2016,35 to 54 years,Farm operators,645
Prince Edward Island,2021,35 to 54 years,Farm operators,535
Prince Edward Island,1991,55 years and over,Farm operators,1040
Prince Edward Island,1996,55 years and over,Farm operators,925
Prince Edward Island,2001,55 years and over,Farm operators,800
Prince Edward Island,2006,55 years and over,Farm operators,910
Prince Edward Island,2011,55 years and over,Farm operators,970
Prince Edward Island,2016,55 years and over,Farm operators,1000
Prince Edward Island,2021,55 years and over,Farm operators,970
Prince Edward Island,1991,Average age of farm operators,Farm operators,47.6
Prince Edward Island,1996,Average age of farm operators,Farm operators,48
Prince Edward Island,2001,Average age of farm operators,Farm operators,49.3
Prince Edward Island,2006,Average age of farm operators,Farm operators,51.4
Prince Edward Island,2011,Average age of farm operators,Farm operators,54.2
Prince Edward Island,2016,Average age of farm operators,Farm operators,55
Prince Edward Island,2021,Average age of farm operators,Farm operators,56.4
Prince Edward Island,1991,Operators with no paid non-farm work,Farm operators,2050
Prince Edward Island,1996,Operators with no paid non-farm work,Farm operators,1640
Prince Edward Island,2001,Operators with no paid non-farm work,Farm operators,1395
Prince Edward Island,2006,Operators with no paid non-farm work,Farm operators,1315
Prince Edward Island,2011,Operators with no paid non-farm work,Farm operators,1170
Prince Edward Island,2016,Operators with no paid non-farm work,Farm operators,1080
Prince Edward Island,2021,Operators with no paid non-farm work,Farm operators,905
Prince Edward Island,1991,Operators with paid non-farm work,Farm operators,1075
Prince Edward Island,1996,Operators with paid non-farm work,Farm operators,1295
Prince Edward Island,2001,Operators with paid non-farm work,Farm operators,1065
Prince Edward Island,2006,Operators with paid non-farm work,Farm operators,1015
Prince Edward Island,2011,Operators with paid non-farm work,Farm operators,875
Prince Edward Island,2016,Operators with paid non-farm work,Farm operators,730
Prince Edward Island,2021,Operators with paid non-farm work,Farm operators,695
Nova Scotia,1991,Total number of operators,Farm operators,5170
Nova Scotia,1996,Total number of operators,Farm operators,5725
Nova Scotia,2001,Total number of operators,Farm operators,5085
