Area,Year,Animal,Measurement,Unit,Value
Canada,1921,Total cattle,Number of animals,Number,8369489
Canada,1921,Total pigs,Number of farms reporting,Number,452935
Canada,1921,Total pigs,Number of animals,Number,3324291
Canada,1921,Total pigs,Average number,Number,7
Canada,1921,Total sheep,Number of farms reporting,Number,161838
Canada,1921,Total sheep,Number of animals,Number,3200467
Canada,1921,Total sheep,Average number,Number,20
Canada,1921,Horses and ponies,Number of farms reporting,Number,608272
Canada,1921,Horses and ponies,Number of animals,Number,3451752
Canada,1921,Horses and ponies,Average number,Number,6
Canada,1921,Total hens and chickens,Number of animals,Number,41125091
Prince Edward Island,1921,Total cattle,Number of animals,Number,109948
Prince Edward Island,1921,Total pigs,Number of farms reporting,Number,9365
Prince Edward Island,1921,Total pigs,Number of animals,Number,39172
Prince Edward Island,1921,Total pigs,Average number,Number,4
Prince Edward Island,1921,Total sheep,Number of farms reporting,Number,6666
Prince Edward Island,1921,Total sheep,Number of animals,Number,105884
Prince Edward Island,1921,Total sheep,Average number,Number,16
Prince Edward Island,1921,Horses and ponies,Number of farms reporting,Number,11868
Prince Edward Island,1921,Horses and ponies,Number of animals,Number,32026
Prince Edward Island,1921,Horses and ponies,Average number,Number,3
Prince Edward Island,1921,Total hens and chickens,Number of animals,Number,797319
Nova Scotia,1921,Total cattle,Number of animals,Number,266363
Nova Scotia,1921,Total pigs,Number of farms reporting,Number,25681
Nova Scotia,1921,Total pigs,Number of animals,Number,47457
Nova Scotia,1921,Total pigs,Average number,Number,2
Nova Scotia,1921,Total sheep,Number of farms reporting,Number,14905
Nova Scotia,1921,Total sheep,Number of animals,Number,271742
Nova Scotia,1921,Total sheep,Average number,Number,18
Nova Scotia,1921,Horses and ponies,Number of farms reporting,Number,29558
Nova Scotia,1921,Horses and ponies,Number of animals,Number,54439
Nova Scotia,1921,Horses and ponies,Average number,Number,2
Nova Scotia,1921,Total hens and chickens,Number of animals,Number,972409
New Brunswick,1921,Total cattle,Number of animals,Number,230312
New Brunswick,1921,Total pigs,Number of farms reporting,Number,24489
New Brunswick,1921,Total pigs,Number of animals,Number,75905
New Brunswick,1921,Total pigs,Average number,Number,3
New Brunswick,1921,Total sheep,Number of farms reporting,Number,14230
New Brunswick,1921,Total sheep,Number of animals,Number,187524
New Brunswick,1921,Total sheep,Average number,Number,13
New Brunswick,1921,Horses and ponies,Number of farms reporting,Number,29231
New Brunswick,1921,Horses and ponies,Number of animals,Number,62448
New Brunswick,1921,Horses and ponies,Average number,Number,2
New Brunswick,1921,Total hens and chickens,Number of animals,Number,985562
Quebec,1921,Total cattle,Number of animals,Number,1594710
Quebec,1921,Total pigs,Number of farms reporting,Number,105885
Quebec,1921,Total pigs,Number of animals,Number,690857
Quebec,1921,Total pigs,Average number,Number,7
Quebec,1921,Total sheep,Number of farms reporting,Number,67992
Quebec,1921,Total sheep,Number of animals,Number,856169
Quebec,1921,Total sheep,Average number,Number,13
Quebec,1921,Horses and ponies,Number of farms reporting,Number,123534
Quebec,1921,Horses and ponies,Number of animals,Number,332533
Quebec,1921,Horses and ponies,Average number,Number,3
Quebec,1921,Total hens and chickens,Number of animals,Number,5252340
Ontario,1921,Total cattle,Number of animals,Number,2633562
Ontario,1921,Total pigs,Number of farms reporting,Number,138945
Ontario,1921,Total pigs,Number of animals,Number,1386081
Ontario,1921,Total pigs,Average number,Number,10
Ontario,1921,Total sheep,Number of farms reporting,Number,41771
Ontario,1921,Total sheep,Number of animals,Number,978892
Ontario,1921,Total sheep,Average number,Number,23
Ontario,1921,Horses and ponies,Number of farms reporting,Number,172030
Ontario,1921,Horses and ponies,Number of animals,Number,669048
Ontario,1921,Horses and ponies,Average number,Number,4
Ontario,1921,Total hens and chickens,Number of animals,Number,15526517
Manitoba,1921,Total cattle,Number of animals,Number,645925
Manitoba,1921,Total pigs,Number of farms reporting,Number,34080
Manitoba,1921,Total pigs,Number of animals,Number,200167
Manitoba,1921,Total pigs,Average number,Number,6
Manitoba,1921,Total sheep,Number of farms reporting,Number,6984
Manitoba,1921,Total sheep,Number of animals,Number,112788
Manitoba,1921,Total sheep,Average number,Number,16
Manitoba,1921,Horses and ponies,Number of farms reporting,Number,46448
Manitoba,1921,Horses and ponies,Number of animals,Number,355747
Manitoba,1921,Horses and ponies,Average number,Number,8
Manitoba,1921,Total hens and chickens,Number of animals,Number,3227499
Saskatchewan,1921,Total cattle,Number of animals,Number,1295910
Saskatchewan,1921,Total pigs,Number of farms reporting,Number,66583
Saskatchewan,1921,Total pigs,Number of animals,Number,419709
Saskatchewan,1921,Total pigs,Average number,Number,6
Saskatchewan,1921,Total sheep,Number of farms reporting,Number,4128
Saskatchewan,1921,Total sheep,Number of animals,Number,194660
Saskatchewan,1921,Total sheep,Average number,Number,47
Saskatchewan,1921,Horses and ponies,Number of farms reporting,Number,108002
Saskatchewan,1921,Horses and ponies,Number of animals,Number,1077882
Saskatchewan,1921,Horses and ponies,Average number,Number,10
Saskatchewan,1921,Total hens and chickens,Number of animals,Number,7474024
Alberta,1921,Total cattle,Number of animals,Number,1383552
Alberta,1921,Total pigs,Number of farms reporting,Number,41029
Alberta,1921,Total pigs,Number of animals,Number,423258
Alberta,1921,Total pigs,Average number,Number,10
Alberta,1921,Total sheep,Number of farms reporting,Number,4110
Alberta,1921,Total sheep,Number of animals,Number,431464
Alberta,1921,Total sheep,Average number,Number,105
Alberta,1921,Horses and ponies,Number of farms reporting,Number,72992
Alberta,1921,Horses and ponies,Number of animals,Number,806244
Alberta,1921,Horses and ponies,Average number,Number,11
Alberta,1921,Total hens and chickens,Number of animals,Number,4921870
British Columbia,1921,Total cattle,Number of animals,Number,209207
British Columbia,1921,Total pigs,Number of farms reporting,Number,6878
British Columbia,1921,Total pigs,Number of animals,Number,41685
British Columbia,1921,Total pigs,Average number,Number,6
British Columbia,1921,Total sheep,Number of farms reporting,Number,1052
British Columbia,1921,Total sheep,Number of animals,Number,61344
British Columbia,1921,Total sheep,Average number,Number,58
British Columbia,1921,Horses and ponies,Number of farms reporting,Number,14609
British Columbia,1921,Horses and ponies,Number of animals,Number,61385
British Columbia,1921,Horses and ponies,Average number,Number,4
British Columbia,1921,Total hens and chickens,Number of animals,Number,1967551
Canada,1931,Total cattle,Number of animals,Number,7973031
Canada,1931,Total pigs,Number of farms reporting,Number,437837
Canada,1931,Total pigs,Number of animals,Number,4699831
Canada,1931,Total pigs,Average number,Number,11
Canada,1931,Total sheep,Number of farms reporting,Number,130084
Canada,1931,Total sheep,Number of animals,Number,3627116
Canada,1931,Total sheep,Average number,Number,28
Canada,1931,Horses and ponies,Number of farms reporting,Number,582089
Canada,1931,Horses and ponies,Number of animals,Number,3113909
Canada,1931,Horses and ponies,Average number,Number,5
Canada,1931,Total hens and chickens,Number of animals,Number,61277229
Prince Edward Island,1931,Total cattle,Number of animals,Number,100487
Prince Edward Island,1931,Total pigs,Number of farms reporting,Number,8416
Prince Edward Island,1931,Total pigs,Number of animals,Number,40586
Prince Edward Island,1931,Total pigs,Average number,Number,5
Prince Edward Island,1931,Total sheep,Number of farms reporting,Number,4726
Prince Edward Island,1931,Total sheep,Number of animals,Number,78478
Prince Edward Island,1931,Total sheep,Average number,Number,17
Prince Edward Island,1931,Horses and ponies,Number of farms reporting,Number,10825
Prince Edward Island,1931,Horses and ponies,Number of animals,Number,29956
Prince Edward Island,1931,Horses and ponies,Average number,Number,3
Prince Edward Island,1931,Total hens and chickens,Number of animals,Number,873949
Nova Scotia,1931,Total cattle,Number of animals,Number,221001
Nova Scotia,1931,Total pigs,Number of farms reporting,Number,20383
Nova Scotia,1931,Total pigs,Number of animals,Number,43865
Nova Scotia,1931,Total pigs,Average number,Number,2
Nova Scotia,1931,Total sheep,Number of farms reporting,Number,9723
Nova Scotia,1931,Total sheep,Number of animals,Number,196344
Nova Scotia,1931,Total sheep,Average number,Number,20
Nova Scotia,1931,Horses and ponies,Number of farms reporting,Number,23821
Nova Scotia,1931,Horses and ponies,Number of animals,Number,43074
Nova Scotia,1931,Horses and ponies,Average number,Number,2
Nova Scotia,1931,Total hens and chickens,Number of animals,Number,1244718
New Brunswick,1931,Total cattle,Number of animals,Number,213450
New Brunswick,1931,Total pigs,Number of farms reporting,Number,22606
New Brunswick,1931,Total pigs,Number of animals,Number,85012
New Brunswick,1931,Total pigs,Average number,Number,4
New Brunswick,1931,Total sheep,Number of farms reporting,Number,9725
New Brunswick,1931,Total sheep,Number of animals,Number,143677
New Brunswick,1931,Total sheep,Average number,Number,15
New Brunswick,1931,Horses and ponies,Number of farms reporting,Number,25402
New Brunswick,1931,Horses and ponies,Number of animals,Number,51157
New Brunswick,1931,Horses and ponies,Average number,Number,2
New Brunswick,1931,Total hens and chickens,Number of animals,Number,1281671
Quebec,1931,Total cattle,Number of animals,Number,1707449
Quebec,1931,Total pigs,Number of farms reporting,Number,96805
Quebec,1931,Total pigs,Number of animals,Number,728210
Quebec,1931,Total pigs,Average number,Number,8
Quebec,1931,Total sheep,Number of farms reporting,Number,51537
Quebec,1931,Total sheep,Number of animals,Number,733684
Quebec,1931,Total sheep,Average number,Number,14
Quebec,1931,Horses and ponies,Number of farms reporting,Number,114351
Quebec,1931,Horses and ponies,Number of animals,Number,301419
Quebec,1931,Horses and ponies,Average number,Number,3
Quebec,1931,Total hens and chickens,Number of animals,Number,7861959
Ontario,1931,Total cattle,Number of animals,Number,2514344
Ontario,1931,Total pigs,Number of farms reporting,Number,115066
Ontario,1931,Total pigs,Number of animals,Number,1359176
Ontario,1931,Total pigs,Average number,Number,12
Ontario,1931,Total sheep,Number of farms reporting,Number,36104
Ontario,1931,Total sheep,Number of animals,Number,1044624
Ontario,1931,Total sheep,Average number,Number,29
Ontario,1931,Horses and ponies,Number of farms reporting,Number,157493
Ontario,1931,Horses and ponies,Number of animals,Number,577322
Ontario,1931,Horses and ponies,Average number,Number,4
Ontario,1931,Total hens and chickens,Number of animals,Number,22524189
Manitoba,1931,Total cattle,Number of animals,Number,668878
Manitoba,1931,Total pigs,Number of farms reporting,Number,35373
