Area,Year,Month,Unit,Value
Canada,1946,1,Persons,12188000
Canada,1946,4,Persons,12241000
Canada,1946,7,Persons,12316000
Canada,1946,10,Persons,12393000
Canada,1947,1,Persons,12450000
Canada,1947,4,Persons,12507000
Canada,1947,7,Persons,12576000
Canada,1947,10,Persons,12646000
Canada,1948,1,Persons,12710000
Canada,1948,4,Persons,12773000
Canada,1948,7,Persons,12852000
Canada,1948,10,Persons,12930000
Canada,1949,1,Persons,12998000
Canada,1949,4,Persons,13399000
Canada,1949,7,Persons,13475000
Canada,1949,10,Persons,13548000
Canada,1950,1,Persons,13607000
Canada,1950,4,Persons,13663000
Canada,1950,7,Persons,13737000
Canada,1950,10,Persons,13807000
Canada,1951,1,Persons,13870000
Canada,1951,4,Persons,13937000
Canada,1951,7,Persons,14050000
Canada,1951,10,Persons,14163000
Newfoundland and Labrador,1951,7,Persons,362000
Newfoundland and Labrador,1951,10,Persons,365000
Prince Edward Island,1951,7,Persons,99000
Prince Edward Island,1951,10,Persons,99000
Nova Scotia,1951,7,Persons,643000
Nova Scotia,1951,10,Persons,646000
New Brunswick,1951,7,Persons,517000
New Brunswick,1951,10,Persons,519000
Quebec,1951,7,Persons,4066000
Quebec,1951,10,Persons,4095000
Ontario,1951,7,Persons,4615000
Ontario,1951,10,Persons,4665000
Manitoba,1951,7,Persons,778000
Manitoba,1951,10,Persons,784000
Saskatchewan,1951,7,Persons,834000
Saskatchewan,1951,10,Persons,836000
Alberta,1951,7,Persons,943000
Alberta,1951,10,Persons,950000
British Columbia,1951,7,Persons,1168000
British Columbia,1951,10,Persons,1179000
Yukon,1951,7,Persons,9000
Yukon,1951,10,Persons,9000
Northwest Territories including Nunavut,1951,7,Persons,16000
Northwest Territories including Nunavut,1951,10,Persons,16000
Canada,1952,1,Persons,14277000
Canada,1952,4,Persons,14376000
Canada,1952,7,Persons,14496000
Canada,1952,10,Persons,14598000
Newfoundland and Labrador,1952,1,Persons,368000
Newfoundland and Labrador,1952,4,Persons,371000
Newfoundland and Labrador,1952,7,Persons,375000
Newfoundland and Labrador,1952,10,Persons,377000
Prince Edward Island,1952,1,Persons,100000
Prince Edward Island,1952,4,Persons,100000
Prince Edward Island,1952,7,Persons,100000
Prince Edward Island,1952,10,Persons,101000
Nova Scotia,1952,1,Persons,647000
Nova Scotia,1952,4,Persons,651000
Nova Scotia,1952,7,Persons,654000
Nova Scotia,1952,10,Persons,657000
New Brunswick,1952,1,Persons,521000
New Brunswick,1952,4,Persons,524000
New Brunswick,1952,7,Persons,527000
New Brunswick,1952,10,Persons,529000
Quebec,1952,1,Persons,4126000
Quebec,1952,4,Persons,4153000
Quebec,1952,7,Persons,4183000
Quebec,1952,10,Persons,4209000
Ontario,1952,1,Persons,4717000
Ontario,1952,4,Persons,4757000
Ontario,1952,7,Persons,4802000
Ontario,1952,10,Persons,4841000
Manitoba,1952,1,Persons,789000
Manitoba,1952,4,Persons,794000
Manitoba,1952,7,Persons,799000
Manitoba,1952,10,Persons,802000
Saskatchewan,1952,1,Persons,836000
Saskatchewan,1952,4,Persons,838000
Saskatchewan,1952,7,Persons,845000
Saskatchewan,1952,10,Persons,850000
Alberta,1952,1,Persons,959000
Alberta,1952,4,Persons,965000
Alberta,1952,7,Persons,977000
Alberta,1952,10,Persons,985000
British Columbia,1952,1,Persons,1189000
British Columbia,1952,4,Persons,1198000
British Columbia,1952,7,Persons,1209000
British Columbia,1952,10,Persons,1222000
Yukon,1952,1,Persons,9000
Yukon,1952,4,Persons,9000
Yukon,1952,7,Persons,9000
Yukon,1952,10,Persons,9000
Northwest Territories including Nunavut,1952,1,Persons,16000
Northwest Territories including Nunavut,1952,4,Persons,16000
Northwest Territories including Nunavut,1952,7,Persons,16000
Northwest Territories including Nunavut,1952,10,Persons,16000
Canada,1953,1,Persons,14682000
Canada,1953,4,Persons,14763000
Canada,1953,7,Persons,14886000
Canada,1953,10,Persons,15001000
Newfoundland and Labrador,1953,1,Persons,379000
Newfoundland and Labrador,1953,4,Persons,382000
Newfoundland and Labrador,1953,7,Persons,384000
Newfoundland and Labrador,1953,10,Persons,387000
Prince Edward Island,1953,1,Persons,101000
Prince Edward Island,1953,4,Persons,101000
Prince Edward Island,1953,7,Persons,101000
Prince Edward Island,1953,10,Persons,101000
Nova Scotia,1953,1,Persons,660000
Nova Scotia,1953,4,Persons,662000
Nova Scotia,1953,7,Persons,664000
Nova Scotia,1953,10,Persons,667000
New Brunswick,1953,1,Persons,530000
New Brunswick,1953,4,Persons,532000
New Brunswick,1953,7,Persons,533000
New Brunswick,1953,10,Persons,535000
Quebec,1953,1,Persons,4228000
Quebec,1953,4,Persons,4249000
Quebec,1953,7,Persons,4281000
Quebec,1953,10,Persons,4310000
Ontario,1953,1,Persons,4876000
Ontario,1953,4,Persons,4907000
Ontario,1953,7,Persons,4956000
Ontario,1953,10,Persons,5002000
Manitoba,1953,1,Persons,804000
Manitoba,1953,4,Persons,806000
Manitoba,1953,7,Persons,810000
Manitoba,1953,10,Persons,814000
Saskatchewan,1953,1,Persons,852000
Saskatchewan,1953,4,Persons,855000
Saskatchewan,1953,7,Persons,863000
Saskatchewan,1953,10,Persons,866000
Alberta,1953,1,Persons,994000
Alberta,1953,4,Persons,1002000
Alberta,1953,7,Persons,1016000
Alberta,1953,10,Persons,1029000
British Columbia,1953,1,Persons,1233000
British Columbia,1953,4,Persons,1242000
British Columbia,1953,7,Persons,1253000
