Area,Year,Crop,Measurement,Unit,Value
Illinois,2000,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only,Percent of corn planted,13
Indiana,2000,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only,Percent of corn planted,7
Iowa,2000,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only,Percent of corn planted,23
Kansas,2000,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only,Percent of corn planted,25
Michigan,2000,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only,Percent of corn planted,8
Minnesota,2000,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only,Percent of corn planted,28
Missouri,2000,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only,Percent of corn planted,20
Nebraska,2000,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only,Percent of corn planted,24
Ohio,2000,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only,Percent of corn planted,6
South Dakota,2000,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only,Percent of corn planted,35
Wisconsin,2000,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only,Percent of corn planted,13
Other States,2000,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only,Percent of corn planted,10
U.S.,2000,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only,Percent of corn planted,18
Illinois,2001,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only,Percent of corn planted,12
Indiana,2001,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only,Percent of corn planted,6
Iowa,2001,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only,Percent of corn planted,25
Kansas,2001,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only,Percent of corn planted,26
Michigan,2001,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only,Percent of corn planted,8
Minnesota,2001,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only,Percent of corn planted,25
Missouri,2001,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only,Percent of corn planted,23
