Year,State,County,Measurement,Unit,Value
2017,COLORADO,ADAMS,Area Harvested,Hectares,368.26426
2017,COLORADO,ADAMS,Production,Tonnes,27225
2017,COLORADO,PHILLIPS,Area Harvested,Hectares,522.854312
2017,COLORADO,PHILLIPS,Production,Tonnes,44109
2017,COLORADO,YUMA,Area Harvested,Hectares,1652.332938
2017,COLORADO,YUMA,Production,Tonnes,149769
2017,COLORADO,BOULDER,Area Harvested,Hectares,284.898944
2017,COLORADO,BOULDER,Production,Tonnes,21325
2017,COLORADO,LARIMER,Area Harvested,Hectares,610.266488
2017,COLORADO,LARIMER,Production,Tonnes,46505
2017,COLORADO,LOGAN,Area Harvested,Hectares,2421.641024
2017,COLORADO,LOGAN,Production,Tonnes,213940
2017,COLORADO,MORGAN,Area Harvested,Hectares,613.908662
2017,COLORADO,MORGAN,Production,Tonnes,49831
2017,COLORADO,WELD,Area Harvested,Hectares,5876.04072
2017,COLORADO,WELD,Production,Tonnes,478645
2017,IDAHO,BINGHAM,Area Harvested,Hectares,8851.292192
2017,IDAHO,BINGHAM,Production,Tonnes,863742
2017,IDAHO,POWER,Area Harvested,Hectares,6164.986524
2017,IDAHO,POWER,Production,Tonnes,587456
2017,IDAHO,CASSIA,Area Harvested,Hectares,13259.132104
2017,IDAHO,CASSIA,Production,Tonnes,1243574
2017,IDAHO,GOODING,Area Harvested,Hectares,312.417592
2017,IDAHO,GOODING,Production,Tonnes,31801
2017,IDAHO,JEROME,Area Harvested,Hectares,3585.113274
2017,IDAHO,JEROME,Production,Tonnes,362006
2017,IDAHO,LINCOLN,Area Harvested,Hectares,1263.025006
2017,IDAHO,LINCOLN,Production,Tonnes,101188
2017,IDAHO,MINIDOKA,Area Harvested,Hectares,20376.344786
2017,IDAHO,MINIDOKA,Production,Tonnes,1939697
2017,IDAHO,TWIN FALLS,Area Harvested,Hectares,2899.57519
2017,IDAHO,TWIN FALLS,Production,Tonnes,290101
2017,IDAHO,ADA,Area Harvested,Hectares,605.814942
2017,IDAHO,ADA,Production,Tonnes,61635
2017,IDAHO,CANYON,Area Harvested,Hectares,4395.699332
2017,IDAHO,CANYON,Production,Tonnes,433069
2017,IDAHO,ELMORE,Area Harvested,Hectares,3744.154872
2017,IDAHO,ELMORE,Production,Tonnes,349865
2017,IDAHO,GEM,Area Harvested,Hectares,242.002228
2017,IDAHO,GEM,Production,Tonnes,21570
2017,IDAHO,OWYHEE,Area Harvested,Hectares,993.50413
2017,IDAHO,OWYHEE,Production,Tonnes,96951
2017,IDAHO,PAYETTE,Area Harvested,Hectares,1104.388094
2017,IDAHO,PAYETTE,Production,Tonnes,107830
2017,IDAHO,WASHINGTON,Area Harvested,Hectares,341.95967
2017,IDAHO,WASHINGTON,Production,Tonnes,31353
2017,MICHIGAN,GLADWIN,Area Harvested,Hectares,344.387786
2017,MICHIGAN,GLADWIN,Production,Tonnes,19218
